channel_index,config_id,threshold_db,crossing_type,delta_min,delta_max
2967,2,18.664311,single_cross,-0.93697432,2.1666885
2968,2,15.582629,single_cross,-0.88044886,2.2333288
2969,2,16.13466,single_cross,-1.2377629,2.4480371
2970,2,15.370688,single_cross,-1.0076975,2.3509221
2971,2,19.588536,single_cross,-1.6380378,3.4765197
2972,2,16.861033,single_cross,-0.28959878,0.93681866
2973,2,15.029452,single_cross,-1.2571276,3.1765602
2974,2,14.008667,single_cross,-0.96499726,1.8435328
2975,2,19.108522,single_cross,-1.6092386,3.0841298
2976,2,17.355766,multi_cross_first,-0.29976048,0.79849193
2977,2,15.066581,single_cross,-0.90969513,2.1596836
2978,2,15.881764,single_cross,-0.55037109,1.5705848
2979,2,16.320746,multi_cross_first,-0.9767308,2.3538931
2980,2,16.758749,single_cross,-0.78725092,1.8969064
2981,2,15.215507,single_cross,-1.3578662,3.2786773
2982,2,20.465468,single_cross,-1.344528,3.9949053
2983,2,3.8368814,multi_cross_first,-0.52686954,0.88564731
2984,2,20.052342,single_cross,-0.79568618,2.3509579
2985,2,16.746531,single_cross,-0.72995807,1.8587042
2986,2,15.645267,single_cross,-1.1372757,3.020401
2987,2,15.521065,single_cross,-1.804864,3.5900776
2988,2,17.257749,single_cross,-0.87472932,1.4742868
2989,2,16.693474,single_cross,-0.88986055,1.363935
2990,2,17.273601,single_cross,-1.2814688,2.992781
2991,2,16.649336,single_cross,-1.2970799,3.4617921
2992,2,18.330924,single_cross,-0.91494722,2.1955892
2993,2,15.355779,single_cross,-1.4435146,3.5131213
2994,2,20.689013,single_cross,-1.6721484,4.5291226
2995,2,17.429637,single_cross,-1.5404027,3.6513362
2996,2,17.682415,single_cross,-1.3168693,2.7553013
2997,2,19.037932,single_cross,-0.54196064,1.5311012
2998,2,18.77677,single_cross,-0.55981898,1.0384205
2999,2,14.373394,single_cross,-1.2488155,2.6293485
