snr_db,svd,gmd_thp,gain_gmd_thp_vs_svd,svd_leakage
-10.0000000000,0.3625692784,0.0019298338,-0.3606394446,0.6628602212
-7.5000000000,0.6135867015,0.0019907928,-0.6115959087,0.5675100735
-5.0000000000,1.0359514574,0.0035541888,-1.0323972686,0.4455813256
-2.5000000000,1.6549751410,0.0036744316,-1.6513007094,0.2752201618
0.0000000000,2.4741971251,0.0047228071,-2.4694743180,0.1782616532
2.5000000000,3.4707273263,0.0056259472,-3.4651013791,0.1245115100
5.0000000000,4.7017651160,0.0385797319,-4.6631853841,0.0895742363
7.5000000000,6.7498816513,0.0489014338,-6.7009802176,0.0583492458
10.0000000000,8.8189024776,0.3296176546,-8.4892848230,0.0378786003
12.5000000000,10.7727999088,0.9658467932,-9.8069531156,0.0249267050
15.0000000000,13.5043089420,1.9501972562,-11.5541116859,0.0159938818
17.5000000000,16.1254325966,3.6848891642,-12.4405434324,0.0099011240
20.0000000000,18.3597893774,6.4455363416,-11.9142530358,0.0061510384
22.5000000000,20.6340896498,9.9586248693,-10.6754647805,0.0039050688
25.0000000000,23.0605491386,14.7438589868,-8.3166901519,0.0025040899
27.5000000000,25.6457592755,20.8923265940,-4.7534326814,0.0015897804
30.0000000000,28.1304968590,26.9191662107,-1.2113306483,0.0009950177
32.5000000000,30.3907634775,32.6132716671,2.2225081896,0.0006131147
35.0000000000,32.0880608164,37.3194366332,5.2313758168,0.0003625118
37.5000000000,33.7576233901,41.4137529334,7.6561295433,0.0002109123
40.0000000000,35.2176293498,44.1178391563,8.9002098065,0.0001163149
42.5000000000,36.6820726122,45.8802549159,9.1981823037,0.0000636114
45.0000000000,38.1284422457,47.0214937686,8.8930515229,0.0000349284
47.5000000000,39.4358348609,47.5706458377,8.1348109768,0.0000192685
50.0000000000,40.6366903103,47.7802286442,7.1435383338,0.0000106659
