snr_db,svd,gmd,gmd_thp,baseline,low_step_ao,soft_ao,svd_ber,gmd_ber,gmd_thp_ber,baseline_ber,low_step_ao_ber,soft_ao_ber,svd_gaussian,gmd_gaussian,gmd_thp_gaussian,baseline_gaussian,low_step_ao_gaussian,soft_ao_gaussian,gain_gmd_thp_vs_gmd,gain_soft_ao_vs_svd,gain_soft_ao_vs_gmd,gain_soft_ao_vs_gmd_thp,gain_soft_ao_vs_baseline,gain_soft_ao_vs_low_step_ao,gap_gaussian_vs_svd,gap_gaussian_vs_gmd,gap_gaussian_vs_gmd_thp,gap_gaussian_vs_baseline,gap_gaussian_vs_low_step_ao,gap_gaussian_vs_soft_ao,svd_leakage,gmd_leakage,baseline_leakage,low_step_ao_leakage,soft_ao_leakage
-10.0000000000,0.7582205859,0.0325468235,0.0014777855,0.2275264099,0.0079670453,0.0079670453,0.4663085938,0.4934082031,0.4895019531,0.4841308594,0.4899902344,0.4899902344,0.7704794973,0.0455596383,0.0455596383,0.4186581215,0.7704793401,0.7704793401,-0.0310690380,-0.7502535406,-0.0245797782,0.0064892598,-0.2195593646,0.0000000000,0.0122589114,0.0130128148,0.0440818528,0.1911317116,0.7625122948,0.7625122948,0.0057803243,0.0057803243,1.5421665269,0.0057803278,0.0057803278
0.0000000000,4.4430052357,0.0000000000,0.0059234731,0.0000000000,3.1045296034,3.8747490796,0.3869628906,0.4794921875,0.5056152344,0.4426269531,0.4179687500,0.4150390625,4.5304249018,0.4454764703,0.4454764703,2.9665644226,5.1293028980,5.6020023093,0.0059234731,-0.5682561561,3.8747490796,3.8688256065,3.8747490796,0.7702194763,0.0874196661,0.4454764703,0.4395529972,2.9665644226,2.0247732946,1.7272532296,0.0057803243,0.0057803243,1.5421665269,0.0044561817,0.0036298793
10.0000000000,11.4884849005,0.0000000000,0.0383295988,0.0000000000,10.7890218718,11.5775365687,0.2797851562,0.4570312500,0.4960937500,0.4296875000,0.2917480469,0.2985839844,13.8004329701,3.7016331814,3.7016331814,11.2466318716,14.4596188152,14.9715142486,0.0383295988,0.0890516682,11.5775365687,11.5392069699,11.5775365687,0.7885146969,2.3119480696,3.7016331814,3.6633035826,11.2466318716,3.6705969434,3.3939776800,0.0057803243,0.0057803243,1.5421665269,0.0058108979,0.0058605633
20.0000000000,15.6724914498,0.0000000000,6.9500648097,0.0000000000,8.8261623707,9.6007548466,0.2160644531,0.3945312500,0.2714843750,0.3876953125,0.2634277344,0.2546386719,27.7849356403,16.7622671449,16.7622671449,26.7062574651,18.1301119497,18.8296034678,6.9500648097,-6.0717366033,9.6007548466,2.6506900369,9.6007548466,0.7745924759,12.1124441904,16.7622671449,9.8122023352,26.7062574651,9.3039495790,9.2288486212,0.0057803243,0.0057803243,1.5421665269,0.0060044074,0.0064183076
30.0000000000,10.7569583981,0.0000000000,1.1183815985,0.0000000000,1.1183506364,2.0500673216,0.1740722656,0.3139648438,0.1721191406,0.3735351562,0.1721191406,0.1860351562,45.9785483396,38.9012749920,38.9012749920,48.5267681291,38.9012759630,39.0990139866,1.1183815985,-8.7068910765,2.0500673216,0.9316857231,2.0500673216,0.9317166852,35.2215899415,38.9012749920,37.7828933935,48.5267681291,37.7829253266,37.0489466650,0.0057803243,0.0057803243,1.5421665269,0.0057803264,0.0057003555
