snr_db,svd,gmd_thp,gain_gmd_thp_vs_svd,svd_leakage
-10.0000000000,0.0398765560,0.0000377592,-0.0398387969,1.0205405944
-7.5000000000,0.0707511210,0.0000374621,-0.0707136589,1.0175217481
-5.0000000000,0.1192077597,0.0000589681,-0.1191487916,0.9863996438
-2.5000000000,0.2106789717,0.0002097266,-0.2104692451,0.8386427279
0.0000000000,0.2968240133,0.0002312931,-0.2965927202,0.6929342398
2.5000000000,0.5824799541,0.0006918009,-0.5817881532,0.5033189949
5.0000000000,0.9950872305,0.0002898884,-0.9947973421,0.4016969234
7.5000000000,1.4478870911,0.0008131670,-1.4470739242,0.3469383895
10.0000000000,2.1549327096,0.0016975434,-2.1532351662,0.2519256643
12.5000000000,3.2100126587,0.0014873245,-3.2085253342,0.1542982858
15.0000000000,4.5703939498,0.0122530446,-4.5581409052,0.0976543336
17.5000000000,6.1416210612,0.0051557478,-6.1364653134,0.0632107289
20.0000000000,7.9775060766,0.0122145573,-7.9652915193,0.0422707059
22.5000000000,9.8862378887,0.0340748940,-9.8521629946,0.0274636686
25.0000000000,12.0620379611,0.0254907903,-12.0365471707,0.0178432313
27.5000000000,14.2506531497,0.0387458294,-14.2119073202,0.0116120074
30.0000000000,16.1866929443,0.1250975083,-16.0615954360,0.0076400050
32.5000000000,18.2320667510,0.2636361369,-17.9684306141,0.0051948979
35.0000000000,20.1151177889,2.0660197964,-18.0490979924,0.0033398098
37.5000000000,21.8444517883,3.3952979846,-18.4491538037,0.0019932033
40.0000000000,23.3239820483,6.8292747168,-16.4947073315,0.0011114513
42.5000000000,24.6616557823,11.7540476929,-12.9076080895,0.0006207020
45.0000000000,25.9207945447,17.9005582535,-8.0202362912,0.0003503893
47.5000000000,27.2475784803,24.5488595811,-2.6987188992,0.0001967953
50.0000000000,28.6471739790,31.1277560436,2.4805820646,0.0001111244
