snr_db,svd,gmd,gmd_thp,baseline,low_step_ao,soft_ao,svd_ber,gmd_ber,gmd_thp_ber,baseline_ber,low_step_ao_ber,soft_ao_ber,svd_gaussian,gmd_gaussian,gmd_thp_gaussian,baseline_gaussian,low_step_ao_gaussian,soft_ao_gaussian,gain_gmd_thp_vs_gmd,gain_soft_ao_vs_svd,gain_soft_ao_vs_gmd,gain_soft_ao_vs_gmd_thp,gain_soft_ao_vs_baseline,gain_soft_ao_vs_low_step_ao,gap_gaussian_vs_svd,gap_gaussian_vs_gmd,gap_gaussian_vs_gmd_thp,gap_gaussian_vs_baseline,gap_gaussian_vs_low_step_ao,gap_gaussian_vs_soft_ao,svd_leakage,gmd_leakage,baseline_leakage,low_step_ao_leakage,soft_ao_leakage
-10.0000000000,0.1166820054,0.0240893595,0.0023869454,0.6603291865,0.0024418892,0.0015865933,0.4885253906,0.4931640625,0.4863281250,0.4719238281,0.5053710938,0.5004882812,0.1031687553,0.0182520072,0.0182520072,0.8298751017,0.0987004210,0.0952188127,-0.0217024141,-0.1150954121,-0.0225027662,-0.0008003521,-0.6587425932,-0.0008552959,-0.0135132501,-0.0058373523,0.0158650618,0.1695459152,0.0962585319,0.0936322195,0.2689498187,0.2689498187,0.9617023424,0.2693411535,0.2779542768
0.0000000000,0.9358211437,0.0933382460,0.0020215284,1.0335616400,0.0183906807,0.0970540473,0.4604492188,0.4829101562,0.4995117188,0.4479980469,0.4912109375,0.4924316406,0.9022035493,0.1795388240,0.1795388240,4.0276105503,1.0874351629,1.2668190940,-0.0913167176,-0.8387670964,0.0037158013,0.0950325189,-0.9365075927,0.0786633665,-0.0336175944,0.0862005780,0.1775172957,2.9940489103,1.0690444822,1.1697650467,0.2689498187,0.2689498187,0.9617023424,0.2347500763,0.2058290799
10.0000000000,2.8996173496,0.0000000000,0.0013789083,0.0000000000,1.7461053291,1.8114218816,0.4023437500,0.4826660156,0.5004882812,0.4221191406,0.4602050781,0.4426269531,4.8858899136,1.5617850489,1.5617850489,10.4969366846,5.3312497755,5.6705596544,0.0013789083,-1.0881954680,1.8114218816,1.8100429733,1.8114218816,0.0653165524,1.9862725640,1.5617850489,1.5604061406,10.4969366846,3.5851444464,3.8591377728,0.2689498187,0.2689498187,0.9617023424,0.2625498474,0.2580610956
20.0000000000,0.8986773307,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3728027344,0.4643554688,0.4855957031,0.3781738281,0.4421386719,0.4396972656,14.2168566172,8.0977769024,8.0977769024,20.6479574201,11.4797917618,11.9115474614,0.0000000000,-0.8986773307,0.0000000000,0.0000000000,0.0000000000,0.0000000000,13.3181792865,8.0977769024,8.0977769024,20.6479574201,11.4797917618,11.9115474614,0.2689498187,0.2689498187,0.9617023424,0.2719116312,0.2744222951
30.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3574218750,0.4531250000,0.4680175781,0.3471679688,0.4609375000,0.4614257812,27.5648944200,21.1918682704,21.1918682704,35.7995058457,21.4188194571,22.4883452195,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,27.5648944200,21.1918682704,21.1918682704,35.7995058457,21.4188194571,22.4883452195,0.2689498187,0.2689498187,0.9617023424,0.2690495467,0.2557210851
