snr_db,svd,gmd,gmd_thp,baseline,low_step_ao,soft_ao,svd_ber,gmd_ber,gmd_thp_ber,baseline_ber,low_step_ao_ber,soft_ao_ber,svd_gaussian,gmd_gaussian,gmd_thp_gaussian,baseline_gaussian,low_step_ao_gaussian,soft_ao_gaussian,gain_gmd_thp_vs_gmd,gain_soft_ao_vs_svd,gain_soft_ao_vs_gmd,gain_soft_ao_vs_gmd_thp,gain_soft_ao_vs_baseline,gain_soft_ao_vs_low_step_ao,gap_gaussian_vs_svd,gap_gaussian_vs_gmd,gap_gaussian_vs_gmd_thp,gap_gaussian_vs_baseline,gap_gaussian_vs_low_step_ao,gap_gaussian_vs_soft_ao,svd_leakage,gmd_leakage,baseline_leakage,low_step_ao_leakage,soft_ao_leakage
-10.0000000000,0.0994967002,0.0028187346,0.0000000000,0.7003725207,0.0007397904,0.0007397904,0.4931640625,0.5092773438,0.5156250000,0.4555664062,0.5053710938,0.5053710938,0.0684585367,0.0007124895,0.0007124895,0.8298751017,0.0671596674,0.0671596674,-0.0028187346,-0.0987569097,-0.0020789441,0.0007397904,-0.6996327303,0.0000000000,-0.0310381635,-0.0021062450,0.0007124895,0.1295025810,0.0664198769,0.0664198769,0.6951617885,0.6951617885,0.9617023424,0.6825965245,0.6825965245
0.0000000000,0.3951792274,0.0154182483,0.0006284274,1.1954980132,0.0001221575,0.0001221575,0.4658203125,0.5058593750,0.4946289062,0.4082031250,0.5009765625,0.5009765625,0.3557356215,0.0127745383,0.0127745383,4.0276105503,0.3557369547,0.3557369547,-0.0147898209,-0.3950570699,-0.0152960908,-0.0005062699,-1.1953758557,0.0000000000,-0.0394436058,-0.0026437100,0.0121461109,2.8321125371,0.3556147972,0.3556147972,0.8141971249,0.8141971249,0.9617023424,0.8141800055,0.8141800055
10.0000000000,2.8792068020,0.1226772175,0.0032145942,1.3474122279,1.8894510858,2.0178997663,0.3779296875,0.4711914062,0.4921875000,0.3569335938,0.4008789062,0.4072265625,3.6691365861,0.0985443339,0.0985443339,10.4969366846,3.8902527417,4.0666770039,-0.1194626233,-0.8613070357,1.8952225488,2.0146851721,0.6704875384,0.1284486805,0.7899297842,-0.0241328836,0.0953297397,9.1495244568,2.0008016559,2.0487772376,0.2078483889,0.2078483889,0.9617023424,0.1948407559,0.1843819155
20.0000000000,6.6528586644,0.0000000000,0.0171833252,1.1392815685,6.0428549343,6.4160518036,0.2719726562,0.4365234375,0.5024414062,0.3032226562,0.2934570312,0.2792968750,13.2827905347,0.9385001820,0.9385001820,20.6479574201,13.7332846199,14.0011221947,0.0171833252,-0.2368068608,6.4160518036,6.3988684783,5.2767702350,0.3731968693,6.6299318703,0.9385001820,0.9213168567,19.5086758515,7.6904296856,7.5850703911,0.0194302729,0.0194302729,0.9617023424,0.0197822136,0.0201662808
30.0000000000,8.0116279174,0.0000000000,0.5777455558,0.0562035246,8.0010808251,8.0010808251,0.2407226562,0.3642578125,0.4394531250,0.2416992188,0.2465820312,0.2465820312,25.7574189150,5.3351880907,5.3351880907,35.7995058457,25.7482188715,25.7482188715,0.5777455558,-0.0105470923,8.0010808251,7.4233352692,7.9448773004,0.0000000000,17.7457909976,5.3351880907,4.7574425349,35.7433023211,17.7471380465,17.7471380465,0.0024755456,0.0024755456,0.9617023424,0.0024701357,0.0024701357
