snr_db,svd,gmd_thp,gain_gmd_thp_vs_svd,svd_leakage
-10.0000000000,0.8172771163,0.0032438264,-0.8140332899,0.0000000000
-7.5000000000,1.3752120939,0.0037425161,-1.3714695778,0.0000000000
-5.0000000000,2.2584825938,0.0054283499,-2.2530542440,0.0000000000
-2.5000000000,3.5778620599,0.0049055524,-3.5729565075,0.0000000000
0.0000000000,5.4186182241,0.0311564547,-5.3874617694,0.0000000000
2.5000000000,7.7977334139,0.3202768309,-7.4774565831,0.0000000000
5.0000000000,10.6368633833,1.4996105451,-9.1372528382,0.0000000000
7.5000000000,13.7598911320,4.1657839609,-9.5941071711,0.0000000000
10.0000000000,16.8535288008,8.4958940172,-8.3576347836,0.0000000000
12.5000000000,19.6485063185,14.1200472174,-5.5284591011,0.0000000000
15.0000000000,22.0326378411,20.1450049750,-1.8876328661,0.0000000000
17.5000000000,24.0354200115,25.3609163460,1.3254963345,0.0000000000
20.0000000000,25.7252209698,28.9819012674,3.2566802976,0.0000000000
22.5000000000,27.1497577922,31.0002086436,3.8504508514,0.0000000000
25.0000000000,28.3778103196,31.8003676725,3.4225573529,0.0000000000
27.5000000000,29.4045000042,31.9816118663,2.5771118621,0.0000000000
30.0000000000,30.1740867678,31.9998798715,1.8257931037,0.0000000000
32.5000000000,30.7105637841,31.9999999999,1.2894362158,0.0000000000
35.0000000000,31.1243307346,32.0000000000,0.8756692654,0.0000000000
37.5000000000,31.4389674092,32.0000000000,0.5610325908,0.0000000000
40.0000000000,31.6500319577,32.0000000000,0.3499680423,0.0000000000
42.5000000000,31.7958525624,32.0000000000,0.2041474376,0.0000000000
45.0000000000,31.9025357766,32.0000000000,0.0974642234,0.0000000000
47.5000000000,31.9696942021,32.0000000000,0.0303057979,0.0000000000
50.0000000000,31.9960005506,32.0000000000,0.0039994494,0.0000000000
