snr_db,svd,gmd,gmd_thp,baseline,low_step_ao,soft_ao,svd_ber,gmd_ber,gmd_thp_ber,baseline_ber,low_step_ao_ber,soft_ao_ber,svd_gaussian,gmd_gaussian,gmd_thp_gaussian,baseline_gaussian,low_step_ao_gaussian,soft_ao_gaussian,gain_gmd_thp_vs_gmd,gain_soft_ao_vs_svd,gain_soft_ao_vs_gmd,gain_soft_ao_vs_gmd_thp,gain_soft_ao_vs_baseline,gain_soft_ao_vs_low_step_ao,gap_gaussian_vs_svd,gap_gaussian_vs_gmd,gap_gaussian_vs_gmd_thp,gap_gaussian_vs_baseline,gap_gaussian_vs_low_step_ao,gap_gaussian_vs_soft_ao,svd_leakage,gmd_leakage,baseline_leakage,low_step_ao_leakage,soft_ao_leakage
-10.0000000000,0.8908155373,0.0500749370,0.0066325815,0.0483822370,0.1239391728,0.2766638029,0.4700520833,0.4873046875,0.5006510417,0.4899088542,0.4876302083,0.4947916667,0.9705400361,0.0822640762,0.0822640762,0.0943251510,1.1709496704,1.3732142314,-0.0434423555,-0.6141517344,0.2265888659,0.2700312214,0.2282815659,0.1527246301,0.0797244987,0.0321891392,0.0756314946,0.0459429140,1.0470104975,1.0965504285,0.0230326937,0.0230326937,1.8956297048,0.0182784542,0.0150524242
0.0000000000,4.0916505638,0.0000000000,0.0155014870,0.0000000000,3.0508009950,3.7105364912,0.4208984375,0.4746093750,0.4930013021,0.4803059896,0.4471028646,0.4379882812,4.7545258863,0.7627748593,0.7627748593,0.8355487130,5.3629976420,5.8528891457,0.0155014870,-0.3811140725,3.7105364912,3.6950350043,3.7105364912,0.6597354962,0.6628753225,0.7627748593,0.7472733723,0.8355487130,2.3121966470,2.1423526544,0.0230326937,0.0230326937,1.8956297048,0.0192896154,0.0167629773
10.0000000000,9.0411108591,0.0000000000,0.6197740555,0.0000000000,8.9927626208,9.4857144680,0.3515625000,0.4664713542,0.4698893229,0.4674479167,0.3748372396,0.3818359375,12.8642370869,5.1179121205,5.1179121205,4.8049617218,13.3946054609,13.8599216704,0.6197740555,0.4446036089,9.4857144680,8.8659404126,9.4857144680,0.4929518472,3.8231262278,5.1179121205,4.4981380651,4.8049617218,4.4018428400,4.3742072023,0.0230326937,0.0230326937,1.8956297048,0.0229691627,0.0222316925
20.0000000000,2.4097180342,0.0000000000,0.4437752196,0.0000000000,0.1452755898,0.2743751098,0.3094075521,0.4430338542,0.3995768229,0.4542643229,0.4003906250,0.3916015625,25.9518791158,18.3246010892,18.3246010892,15.7437697826,18.9301409639,19.6520376780,0.4437752196,-2.1353429244,0.2743751098,-0.1694001098,0.2743751098,0.1290995200,23.5421610816,18.3246010892,17.8808258696,15.7437697826,18.7848653741,19.3776625682,0.0230326937,0.0230326937,1.8956297048,0.0246388617,0.0271544966
30.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2999674479,0.4124348958,0.3492838542,0.4410807292,0.3375651042,0.3513997396,44.2604312510,38.7143685318,38.7143685318,33.1230082721,39.4539926570,39.9414790489,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,44.2604312510,38.7143685318,38.7143685318,33.1230082721,39.4539926570,39.9414790489,0.0230326937,0.0230326937,1.8956297048,0.0258585462,0.0271825314
