snr_db,svd,gmd_thp,gain_gmd_thp_vs_svd,svd_leakage
-10.0000000000,0.9409184731,0.0012155987,-0.9397028744,0.0000000000
-7.5000000000,1.5316095012,0.0015094633,-1.5301000379,0.0000000000
-5.0000000000,2.3889227351,0.0021055835,-2.3868171517,0.0000000000
-2.5000000000,3.5582574550,0.0035731107,-3.5546843443,0.0000000000
0.0000000000,5.0707643300,0.0055130748,-5.0652512552,0.0000000000
2.5000000000,6.9424729214,0.0072501635,-6.9352227579,0.0000000000
5.0000000000,9.1499957103,0.0052303375,-9.1447653728,0.0000000000
7.5000000000,11.6352007173,0.0071703227,-11.6280303946,0.0000000000
10.0000000000,14.2745441190,0.0933965883,-14.1811475307,0.0000000000
12.5000000000,16.8914097103,0.6378399288,-16.2535697815,0.0000000000
15.0000000000,19.2722656111,2.4544916881,-16.8177739230,0.0000000000
17.5000000000,21.4162272589,6.2575941718,-15.1586330871,0.0000000000
20.0000000000,23.4270587875,11.9252529910,-11.5018057966,0.0000000000
22.5000000000,25.3446924638,18.8414360901,-6.5032563737,0.0000000000
25.0000000000,27.2064154486,26.1585360799,-1.0478793687,0.0000000000
27.5000000000,29.0564570797,33.2477262916,4.1912692119,0.0000000000
30.0000000000,30.9263552339,39.5742600855,8.6479048516,0.0000000000
32.5000000000,32.8402578304,44.4601270227,11.6198691923,0.0000000000
35.0000000000,34.8604320575,47.1305260027,12.2700939451,0.0000000000
37.5000000000,36.9420574874,47.9102049321,10.9681474447,0.0000000000
40.0000000000,38.9465701048,47.9992787444,9.0527086396,0.0000000000
42.5000000000,40.7720038882,47.9999999995,7.2279961113,0.0000000000
45.0000000000,42.4324119385,48.0000000000,5.5675880615,0.0000000000
47.5000000000,43.9396615886,48.0000000000,4.0603384114,0.0000000000
50.0000000000,45.2500881884,48.0000000000,2.7499118116,0.0000000000
