snr_db,svd,gmd,gmd_thp,baseline,low_step_ao,soft_ao,svd_ber,gmd_ber,gmd_thp_ber,baseline_ber,low_step_ao_ber,soft_ao_ber,svd_gaussian,gmd_gaussian,gmd_thp_gaussian,baseline_gaussian,low_step_ao_gaussian,soft_ao_gaussian,gain_gmd_thp_vs_gmd,gain_soft_ao_vs_svd,gain_soft_ao_vs_gmd,gain_soft_ao_vs_gmd_thp,gain_soft_ao_vs_baseline,gain_soft_ao_vs_low_step_ao,gap_gaussian_vs_svd,gap_gaussian_vs_gmd,gap_gaussian_vs_gmd_thp,gap_gaussian_vs_baseline,gap_gaussian_vs_low_step_ao,gap_gaussian_vs_soft_ao,svd_leakage,gmd_leakage,baseline_leakage,low_step_ao_leakage,soft_ao_leakage
-10.0000000000,0.8546081804,0.0737310190,0.0062622422,0.0925189226,0.1910607789,0.3272353734,0.4409179688,0.4711914062,0.4877929688,0.4809570312,0.4721679688,0.4663085938,0.7601966028,0.0639786421,0.0639786421,0.0943251510,0.8756885186,0.9927375671,-0.0674687768,-0.5273728069,0.2535043544,0.3209731312,0.2347164508,0.1361745945,-0.0944115776,-0.0097523769,0.0577163999,0.0018062284,0.6846277396,0.6655021937,0.0085785164,0.0085785164,1.8956297048,0.0078974213,0.0073627129
0.0000000000,3.5519016243,0.0958372480,0.0086574337,0.1518390519,2.5719765872,3.1293176763,0.3510742188,0.4384765625,0.4936523438,0.4555664062,0.4003906250,0.3857421875,4.1283092279,0.6136458368,0.6136458368,0.8355487130,4.6991568476,5.0951931075,-0.0871798144,-0.4225839481,3.0334804282,3.1206602426,2.9774786243,0.5573410891,0.5764076036,0.5178085887,0.6049884031,0.6837096610,2.1271802604,1.9658754313,0.0085785164,0.0085785164,1.8956297048,0.0069266115,0.0060053696
10.0000000000,7.0267487852,0.0000000000,0.8438850451,0.0000000000,6.1229794524,6.5793119620,0.2392578125,0.3671875000,0.4091796875,0.4282226562,0.2954101562,0.2636718750,12.7677640569,4.5724537158,4.5724537158,4.8049617218,12.9569877605,12.8272614021,0.8438850451,-0.4474368232,6.5793119620,5.7354269169,6.5793119620,0.4563325096,5.7410152716,4.5724537158,3.7285686707,4.8049617218,6.8340083081,6.2479494401,0.0085785164,0.0085785164,1.8956297048,0.0088204619,0.0090690649
20.0000000000,9.5524765537,0.0000000000,8.3830309930,0.0000000000,8.7750245620,9.2221268258,0.1645507812,0.2373046875,0.1806640625,0.3828125000,0.1723632812,0.1630859375,27.1070060794,17.7475579068,17.7475579068,15.7437697826,18.0197480454,18.2785233166,8.3830309930,-0.3303497279,9.2221268258,0.8390958328,9.2221268258,0.4471022638,17.5545295258,17.7475579068,9.3645269138,15.7437697826,9.2447234834,9.0563964909,0.0085785164,0.0085785164,1.8956297048,0.0089081977,0.0088706025
30.0000000000,6.0528809820,0.0000000000,8.6930909517,0.0000000000,8.6930917859,8.6930917859,0.1303710938,0.1420898438,0.1020507812,0.3583984375,0.1020507812,0.1020507812,45.9151373891,39.3366107429,39.3366107429,33.1230082721,39.3366108188,39.3366108188,8.6930909517,2.6402108039,8.6930917859,0.0000008342,8.6930917859,0.0000000000,39.8622564071,39.3366107429,30.6435197912,33.1230082721,30.6435190328,30.6435190328,0.0085785164,0.0085785164,1.8956297048,0.0085785197,0.0085785197
