snr_db,svd,gmd,gmd_thp,baseline,low_step_ao,soft_ao,svd_ber,gmd_ber,gmd_thp_ber,baseline_ber,low_step_ao_ber,soft_ao_ber,svd_gaussian,gmd_gaussian,gmd_thp_gaussian,baseline_gaussian,low_step_ao_gaussian,soft_ao_gaussian,gain_gmd_thp_vs_gmd,gain_soft_ao_vs_svd,gain_soft_ao_vs_gmd,gain_soft_ao_vs_gmd_thp,gain_soft_ao_vs_baseline,gain_soft_ao_vs_low_step_ao,gap_gaussian_vs_svd,gap_gaussian_vs_gmd,gap_gaussian_vs_gmd_thp,gap_gaussian_vs_baseline,gap_gaussian_vs_low_step_ao,gap_gaussian_vs_soft_ao,svd_leakage,gmd_leakage,baseline_leakage,low_step_ao_leakage,soft_ao_leakage
-10.0000000000,0.6481854139,0.0534176170,0.0027295498,0.1555503350,0.0072291197,0.0072291197,0.4720052083,0.4871419271,0.4912109375,0.4829101562,0.4934895833,0.4934895833,0.7704794973,0.0455596383,0.0455596383,0.4186581215,0.4078030972,0.4078030972,-0.0506880672,-0.6409562941,-0.0461884973,0.0044995699,-0.1483212153,0.0000000000,0.1222940834,-0.0078579787,0.0428300885,0.2631077865,0.4005739775,0.4005739775,0.0057803243,0.0057803243,1.5421665269,0.0057653607,0.0057653607
0.0000000000,4.0063947930,0.0069748962,0.0052335403,0.0000000000,2.5884140757,3.3344968356,0.4169921875,0.4765625000,0.5091145833,0.4563802083,0.4433593750,0.4295247396,4.5304249018,0.4454764703,0.4454764703,2.9665644226,5.1275191711,5.5971237026,-0.0017413559,-0.6718979574,3.3275219394,3.3292632953,3.3344968356,0.7460827599,0.5240301088,0.4385015742,0.4402429301,2.9665644226,2.5391050954,2.2626268670,0.0057803243,0.0057803243,1.5421665269,0.0044734840,0.0036357916
10.0000000000,12.2814803181,0.0000000000,0.0313537726,0.0000000000,11.3462151840,12.2133274709,0.3165690104,0.4739583333,0.4934895833,0.4360351562,0.3466796875,0.3320312500,13.8004329701,3.7016331814,3.7016331814,11.2466318716,14.7776244670,15.5232865624,0.0313537726,-0.0681528471,12.2133274709,12.1819736983,12.2133274709,0.8671122869,1.5189526521,3.7016331814,3.6702794088,11.2466318716,3.4314092830,3.3099590914,0.0057803243,0.0057803243,1.5421665269,0.0048595071,0.0043883637
20.0000000000,19.5714136054,0.0000000000,5.6205350652,0.0000000000,19.8563575710,20.2322490820,0.2423502604,0.4420572917,0.3512369792,0.4208984375,0.2519531250,0.2537434896,27.7849356403,16.7622671449,16.7622671449,26.7062574651,28.1485535756,28.0431821349,5.6205350652,0.6608354766,20.2322490820,14.6117140168,20.2322490820,0.3758915110,8.2135220349,16.7622671449,11.1417320797,26.7062574651,8.2921960046,7.8109330529,0.0057803243,0.0057803243,1.5421665269,0.0067378241,0.0080547583
30.0000000000,7.3913443911,0.0000000000,0.0000000000,0.0000000000,0.7198518248,0.9553321757,0.2148437500,0.4018554688,0.2456054688,0.4039713542,0.2294921875,0.2351888021,45.9785483396,38.9012749920,38.9012749920,48.5267681291,40.0233558567,40.5516684234,0.0000000000,-6.4360122153,0.9553321757,0.9553321757,0.9553321757,0.2354803510,38.5872039486,38.9012749920,38.9012749920,48.5267681291,39.3035040319,39.5963362477,0.0057803243,0.0057803243,1.5421665269,0.0059310045,0.0060948931
