snr_db,svd,gmd,gmd_thp,baseline,low_step_ao,soft_ao,svd_ber,gmd_ber,gmd_thp_ber,baseline_ber,low_step_ao_ber,soft_ao_ber,svd_gaussian,gmd_gaussian,gmd_thp_gaussian,baseline_gaussian,low_step_ao_gaussian,soft_ao_gaussian,gain_gmd_thp_vs_gmd,gain_soft_ao_vs_svd,gain_soft_ao_vs_gmd,gain_soft_ao_vs_gmd_thp,gain_soft_ao_vs_baseline,gain_soft_ao_vs_low_step_ao,gap_gaussian_vs_svd,gap_gaussian_vs_gmd,gap_gaussian_vs_gmd_thp,gap_gaussian_vs_baseline,gap_gaussian_vs_low_step_ao,gap_gaussian_vs_soft_ao,svd_leakage,gmd_leakage,baseline_leakage,low_step_ao_leakage,soft_ao_leakage
-10.0000000000,0.7069080141,0.0282066903,0.0011591276,0.2275264099,0.0099541227,0.0183130589,0.4660644531,0.4843750000,0.4960937500,0.4841308594,0.5002441406,0.5097656250,0.7445190664,0.0455699126,0.0455699126,0.4186581215,0.7724444542,0.8393780230,-0.0270475627,-0.6885949552,-0.0098936314,0.0171539313,-0.2092133509,0.0083589362,0.0376110523,0.0173632223,0.0444107850,0.1911317116,0.7624903315,0.8210649640,0.0000000000,0.0000000000,1.5421665269,0.0000000000,0.0000000000
0.0000000000,4.2464035905,0.0002070586,0.0058238390,0.0000000000,2.7869789226,3.4257072756,0.3867187500,0.4702148438,0.4980468750,0.4426269531,0.4296875000,0.4155273438,4.3264944695,0.4473970173,0.4473970173,2.9665644226,4.8400833127,5.2535295144,0.0056167804,-0.8206963149,3.4255002170,3.4198834366,3.4257072756,0.6387283530,0.0800908791,0.4471899587,0.4415731783,2.9665644226,2.0531043901,1.8278222388,0.0000000000,0.0000000000,1.5421665269,0.0000000000,0.0000000000
10.0000000000,11.4457870894,0.0000000000,0.0181983953,0.0000000000,10.2806367745,11.0181384491,0.2814941406,0.4255371094,0.4831542969,0.4296875000,0.3073730469,0.2924804688,13.3018869937,3.8235527908,3.8235527908,11.2466318716,13.9533849162,14.4145458762,0.0181983953,-0.4276486403,11.0181384491,10.9999400538,11.0181384491,0.7375016746,1.8560999043,3.8235527908,3.8053543955,11.2466318716,3.6727481418,3.3964074271,0.0000000000,0.0000000000,1.5421665269,0.0000000000,0.0000000000
20.0000000000,17.5338154115,0.0000000000,12.2265158414,0.0000000000,16.3201639162,16.9073532637,0.1921386719,0.2670898438,0.1943359375,0.3876953125,0.2204589844,0.2050781250,27.5361203535,18.2963255443,18.2963255443,26.7062574651,27.8160613451,27.6869087658,12.2265158414,-0.6264621479,16.9073532637,4.6808374223,16.9073532637,0.5871893475,10.0023049419,18.2963255443,6.0698097028,26.7062574651,11.4958974290,10.7795555021,0.0000000000,0.0000000000,1.5421665269,0.0000000000,0.0000000000
30.0000000000,23.3035163835,14.7882390699,31.5018267604,0.0000000000,31.5622559249,31.5675824938,0.1064453125,0.0068359375,0.0041503906,0.3735351562,0.0034179688,0.0034179688,46.5799185954,42.4758824628,42.4758824628,48.5267681291,42.6982676096,42.9294214604,16.7135876905,8.2640661103,16.7793434238,0.0657557334,31.5675824938,0.0053265689,23.2764022119,27.6876433928,10.9740557023,48.5267681291,11.1360116847,11.3618389666,0.0000000000,0.0000000000,1.5421665269,0.0000000000,0.0000000000
