snr_db,svd,gmd_thp,gain_gmd_thp_vs_svd,svd_leakage
-10.0000000000,0.3708999938,0.0035617109,-0.3673382829,0.8093025039
-7.5000000000,0.6584963611,0.0055353713,-0.6529609898,0.6023308380
-5.0000000000,1.2899540843,0.0037320292,-1.2862220551,0.4282599219
-2.5000000000,2.1231885221,0.0080801648,-2.1151083573,0.3051919545
0.0000000000,3.6750456888,0.0285565506,-3.6464891382,0.1960002643
2.5000000000,5.6373868157,0.1377404508,-5.4996463649,0.1303511450
5.0000000000,8.3965185338,0.9120049588,-7.4845135750,0.0882691624
7.5000000000,11.7233414954,2.7261625079,-8.9971789875,0.0544075466
10.0000000000,15.1367931434,6.1715128099,-8.9652803336,0.0336685455
12.5000000000,18.3618659459,11.3528415164,-7.0090244295,0.0208183387
15.0000000000,20.9350815980,16.9921980945,-3.9428835035,0.0129390610
17.5000000000,23.0163641106,22.4692063306,-0.5471577800,0.0079379619
20.0000000000,24.6388643596,26.8010555803,2.1621912207,0.0048221953
22.5000000000,26.1495091994,29.6316312003,3.4821220009,0.0029047495
25.0000000000,27.4650409175,31.2455665082,3.7805255907,0.0017303190
27.5000000000,28.6608120665,31.8491144570,3.1883023904,0.0010209600
30.0000000000,29.6162596302,31.9797414105,2.3634817802,0.0005974117
32.5000000000,30.3002979886,31.9999987411,1.6997007525,0.0003467609
35.0000000000,30.7885661357,32.0000000000,1.2114338643,0.0001991617
37.5000000000,31.2060577174,32.0000000000,0.7939422826,0.0001133333
40.0000000000,31.5236967739,32.0000000000,0.4763032261,0.0000641342
42.5000000000,31.7180805499,32.0000000000,0.2819194501,0.0000361830
45.0000000000,31.8562292470,32.0000000000,0.1437707530,0.0000203807
47.5000000000,31.9503618552,32.0000000000,0.0496381448,0.0000114702
50.0000000000,31.9917134840,32.0000000000,0.0082865160,0.0000064528
