snr_db,svd,gmd,gmd_thp,baseline,low_step_ao,soft_ao,svd_ber,gmd_ber,gmd_thp_ber,baseline_ber,low_step_ao_ber,soft_ao_ber,svd_gaussian,gmd_gaussian,gmd_thp_gaussian,baseline_gaussian,low_step_ao_gaussian,soft_ao_gaussian,gain_gmd_thp_vs_gmd,gain_soft_ao_vs_svd,gain_soft_ao_vs_gmd,gain_soft_ao_vs_gmd_thp,gain_soft_ao_vs_baseline,gain_soft_ao_vs_low_step_ao,gap_gaussian_vs_svd,gap_gaussian_vs_gmd,gap_gaussian_vs_gmd_thp,gap_gaussian_vs_baseline,gap_gaussian_vs_low_step_ao,gap_gaussian_vs_soft_ao,svd_leakage,gmd_leakage,baseline_leakage,low_step_ao_leakage,soft_ao_leakage
-10.0000000000,0.3223772881,0.0836722520,0.0005980630,0.1555503350,0.0060502405,0.0060502405,0.4773763021,0.4900716146,0.5066731771,0.4829101562,0.4869791667,0.4869791667,0.5062843878,0.0803548900,0.0803548900,0.4186581215,0.3920957417,0.3920957417,-0.0830741891,-0.3163270476,-0.0776220115,0.0054521775,-0.1495000945,0.0000000000,0.1839070997,-0.0033173620,0.0797568270,0.2631077865,0.3860455012,0.3860455012,0.7853931646,0.7853931646,1.5421665269,0.7853931704,0.7853931704
0.0000000000,3.3304851703,0.0000000000,0.0082550345,0.0000000000,2.3534723082,2.7994965459,0.4293619792,0.4814453125,0.4991861979,0.4563802083,0.4392903646,0.4401041667,4.7310840895,0.6666985918,0.6666985918,2.9665644226,5.1211647763,5.3843451473,0.0082550345,-0.5309886244,2.7994965459,2.7912415114,2.7994965459,0.4460242377,1.4005989192,0.6666985918,0.6584435574,2.9665644226,2.7676924680,2.5848486014,0.1169970581,0.1169970581,1.5421665269,0.0946388303,0.0801402063
10.0000000000,10.1332508744,0.0000000000,0.0591406045,0.0000000000,10.4726542611,11.0910811103,0.3391927083,0.4667968750,0.4956054688,0.4360351562,0.3504231771,0.3400065104,14.6499508081,3.3080663901,3.3080663901,11.2466318716,15.4531701331,16.0605246954,0.0591406045,0.9578302359,11.0910811103,11.0319405059,11.0910811103,0.6184268492,4.5166999337,3.3080663901,3.2489257856,11.2466318716,4.9805158720,4.9694435850,0.0276723344,0.0276723344,1.5421665269,0.0235602242,0.0212610844
20.0000000000,21.2529326983,0.0000000000,5.7233219103,0.0000000000,21.9307178716,22.3589802566,0.2420247396,0.4121093750,0.3497721354,0.4208984375,0.2628580729,0.2543945312,27.6772921458,16.9879646823,16.9879646823,26.7062574651,28.2014361698,28.4844316105,5.7233219103,1.1060475583,22.3589802566,16.6356583462,22.3589802566,0.4282623850,6.4243594475,16.9879646823,11.2646427720,26.7062574651,6.2707182982,6.1254513540,0.0049703894,0.0049703894,1.5421665269,0.0053319314,0.0056994256
30.0000000000,28.9142555746,0.0000000000,31.7217671723,0.0000000000,33.4584357314,34.7313615760,0.1583658854,0.2115885417,0.0917968750,0.4039713542,0.0820312500,0.0758463542,45.9823460776,42.2126971741,42.2126971741,48.5267681291,43.7445899253,44.6973458779,31.7217671723,5.8171060014,34.7313615760,3.0095944037,34.7313615760,1.2729258446,17.0680905030,42.2126971741,10.4909300017,48.5267681291,10.2861541938,9.9659843019,0.0007666935,0.0007666935,1.5421665269,0.0007515863,0.0007764412
