snr_db,svd,gmd,gmd_thp,baseline,low_step_ao,soft_ao,svd_ber,gmd_ber,gmd_thp_ber,baseline_ber,low_step_ao_ber,soft_ao_ber,svd_gaussian,gmd_gaussian,gmd_thp_gaussian,baseline_gaussian,low_step_ao_gaussian,soft_ao_gaussian,gain_gmd_thp_vs_gmd,gain_soft_ao_vs_svd,gain_soft_ao_vs_gmd,gain_soft_ao_vs_gmd_thp,gain_soft_ao_vs_baseline,gain_soft_ao_vs_low_step_ao,gap_gaussian_vs_svd,gap_gaussian_vs_gmd,gap_gaussian_vs_gmd_thp,gap_gaussian_vs_baseline,gap_gaussian_vs_low_step_ao,gap_gaussian_vs_soft_ao,svd_leakage,gmd_leakage,baseline_leakage,low_step_ao_leakage,soft_ao_leakage
-10.0000000000,0.7932384634,0.0328456794,0.0030945473,0.0534152253,0.1221972639,0.2297386438,0.4628906250,0.4914550781,0.4946289062,0.4887695312,0.4750976562,0.4841308594,0.7601966028,0.0639786421,0.0639786421,0.0943251510,0.8762999508,0.9934117914,-0.0297511320,-0.5634998196,0.1968929644,0.2266440964,0.1763234184,0.1075413799,-0.0330418606,0.0311329627,0.0608840948,0.0409099256,0.7541026869,0.7636731477,0.0085785164,0.0085785164,1.8956297048,0.0078823146,0.0073725619
0.0000000000,3.9666538034,0.0069219817,0.0014560342,0.0269115714,2.4576225338,3.1432484379,0.3962402344,0.4753417969,0.4997558594,0.4707031250,0.4340820312,0.4223632812,4.1283092279,0.6136458368,0.6136458368,0.8355487130,4.7222700078,5.1991432371,-0.0054659475,-0.8234053655,3.1363264562,3.1417924037,3.1163368665,0.6856259041,0.1616554245,0.6067238551,0.6121898026,0.8086371416,2.2646474740,2.0558947992,0.0085785164,0.0085785164,1.8956297048,0.0068069198,0.0056741650
10.0000000000,10.7440787808,0.0000000000,0.4490950376,0.0000000000,9.3899953337,10.0003594773,0.2915039062,0.4548339844,0.4560546875,0.4536132812,0.3312988281,0.3137207031,12.7677640569,4.5724537158,4.5724537158,4.8049617218,13.4533999483,13.8734890879,0.4490950376,-0.7437193036,10.0003594773,9.5512644396,10.0003594773,0.6103641436,2.0236852760,4.5724537158,4.1233586782,4.8049617218,4.0634046146,3.8731296106,0.0085785164,0.0085785164,1.8956297048,0.0075324354,0.0069608209
20.0000000000,15.9912644072,0.0000000000,7.6721439490,0.0000000000,13.2951062830,14.5059888165,0.2089843750,0.4020996094,0.2846679688,0.4291992188,0.2089843750,0.2033691406,27.1070060794,17.7475579068,17.7475579068,15.7437697826,23.9525859181,24.5315338060,7.6721439490,-1.4852755906,14.5059888165,6.8338448675,14.5059888165,1.2108825335,11.1157416723,17.7475579068,10.0754139577,15.7437697826,10.6574796350,10.0255449894,0.0085785164,0.0085785164,1.8956297048,0.0098799569,0.0105718217
30.0000000000,8.7000733921,0.0000000000,2.4283385392,0.0000000000,2.8281949173,0.7330283280,0.1760253906,0.3066406250,0.1726074219,0.4096679688,0.1613769531,0.1652832031,45.9151373891,39.3366107429,39.3366107429,33.1230082721,39.6441323373,39.8468918296,2.4283385392,-7.9670450641,0.7330283280,-1.6953102112,0.7330283280,-2.0951665893,37.2150639970,39.3366107429,36.9082722037,33.1230082721,36.8159374201,39.1138635016,0.0085785164,0.0085785164,1.8956297048,0.0086942548,0.0088109125
