snr_db,svd,gmd,gmd_thp,baseline,low_step_ao,soft_ao,svd_ber,gmd_ber,gmd_thp_ber,baseline_ber,low_step_ao_ber,soft_ao_ber,svd_gaussian,gmd_gaussian,gmd_thp_gaussian,baseline_gaussian,low_step_ao_gaussian,soft_ao_gaussian,gain_gmd_thp_vs_gmd,gain_soft_ao_vs_svd,gain_soft_ao_vs_gmd,gain_soft_ao_vs_gmd_thp,gain_soft_ao_vs_baseline,gain_soft_ao_vs_low_step_ao,gap_gaussian_vs_svd,gap_gaussian_vs_gmd,gap_gaussian_vs_gmd_thp,gap_gaussian_vs_baseline,gap_gaussian_vs_low_step_ao,gap_gaussian_vs_soft_ao,svd_leakage,gmd_leakage,baseline_leakage,low_step_ao_leakage,soft_ao_leakage
-10.0000000000,0.9980790807,0.3974874237,0.0169064582,0.2496741268,0.0167959909,0.0167959909,0.4588216146,0.4680989583,0.4954427083,0.4850260417,0.4977213542,0.4977213542,1.1584512824,0.5729010921,0.5729010921,0.2831525138,1.1584513053,1.1584513053,-0.3805809656,-0.9812830899,-0.3806914329,-0.0001104673,-0.2328781360,0.0000000000,0.1603722017,0.1754136683,0.5559946339,0.0334783870,1.1416553145,1.1416553145,0.0055035444,0.0055035444,0.6122801691,0.0055035446,0.0055035446
0.0000000000,6.4005700219,1.0676296301,0.0519846531,0.8523083414,2.7694677789,3.3801689747,0.3756510417,0.4204101562,0.4887695312,0.4571940104,0.4358723958,0.4208984375,7.2514350090,4.7206235877,4.7206235877,2.3454353757,7.5975782689,7.7623485993,-1.0156449771,-3.0204010471,2.3125393446,3.3281843216,2.5278606333,0.6107011958,0.8508649871,3.6529939576,4.6686389346,1.4931270344,4.8281104900,4.3821796246,0.0055035444,0.0055035444,0.6122801691,0.0047883890,0.0043019732
10.0000000000,20.5613494824,5.2137112302,12.2325716131,0.0000000000,17.8287031939,18.2420695637,0.2137044271,0.2862955729,0.2700195312,0.4215494792,0.2482096354,0.2464192708,23.0156400057,20.6615143074,20.6615143074,11.5645734153,23.4815474537,23.6294570959,7.0188603829,-2.3192799187,13.0283583335,6.0094979506,18.2420695637,0.4133663698,2.4542905233,15.4478030772,8.4289426943,11.5645734153,5.6528442598,5.3873875322,0.0055035444,0.0055035444,0.6122801691,0.0052208834,0.0050749037
20.0000000000,35.4034325932,8.5609464437,33.9273059562,0.0000000000,35.4246501872,35.8299231226,0.0844726562,0.1163736979,0.0782877604,0.4029947917,0.0683593750,0.0642903646,45.8444672440,45.3151243506,45.3151243506,31.3439112843,46.3880463354,46.9080828183,25.3663595126,0.4264905295,27.2689766790,1.9026171664,35.8299231226,0.4052729354,10.4410346508,36.7541779069,11.3878183943,31.3439112843,10.9633961482,11.0781596956,0.0055035444,0.0055035444,0.6122801691,0.0054260829,0.0056045295
30.0000000000,34.7260634890,10.7232976494,29.1144922715,0.0000000000,29.1144873612,29.1144873612,0.0441080729,0.0455729167,0.0250651042,0.4002278646,0.0250651042,0.0250651042,71.7399327736,71.6786069170,71.6786069170,56.7253558865,71.6786065869,71.6786065869,18.3911946221,-5.6115761278,18.3911897118,-0.0000049103,29.1144873612,0.0000000000,37.0138692847,60.9553092676,42.5641146455,56.7253558865,42.5641192257,42.5641192257,0.0055035444,0.0055035444,0.6122801691,0.0055035452,0.0055035452
