snr_db,avg_svd,avg_gmd_thp,gain_gmd_thp_vs_svd,avg_svd_ber,avg_gmd_thp_ber,avg_svd_leakage,avg_gmd_thp_leakage
-10.0,0.7257963975833057,0.003100743414099938,-0.7226956541692058,0.47135416666666663,0.49300130208333337,0.0,0.0
0.0,4.413852940268399,0.015323362272500418,-4.398529577995898,0.4064127604166667,0.4970703125,0.0,0.0
10.0,13.889804231820042,0.4255399637402224,-13.46426426807982,0.30143229166666663,0.46028645833333337,0.0,0.0
20.0,25.05867200877838,19.39647493434996,-5.66219707442842,0.19840494791666669,0.19547526041666669,0.0,0.0
30.0,34.79818376159325,45.09514441454377,10.296960652950517,0.09830729166666666,0.01416015625,0.0,0.0
