snr_db,svd,gmd,gmd_thp,baseline,low_step_ao,soft_ao,svd_ber,gmd_ber,gmd_thp_ber,baseline_ber,low_step_ao_ber,soft_ao_ber,svd_gaussian,gmd_gaussian,gmd_thp_gaussian,baseline_gaussian,low_step_ao_gaussian,soft_ao_gaussian,gain_gmd_thp_vs_gmd,gain_soft_ao_vs_svd,gain_soft_ao_vs_gmd,gain_soft_ao_vs_gmd_thp,gain_soft_ao_vs_baseline,gain_soft_ao_vs_low_step_ao,gap_gaussian_vs_svd,gap_gaussian_vs_gmd,gap_gaussian_vs_gmd_thp,gap_gaussian_vs_baseline,gap_gaussian_vs_low_step_ao,gap_gaussian_vs_soft_ao,svd_leakage,gmd_leakage,baseline_leakage,low_step_ao_leakage,soft_ao_leakage
-10.0000000000,0.6642288886,0.0428821876,0.0016622825,0.0483822370,0.0939231014,0.1893867870,0.4718424479,0.4910481771,0.4946289062,0.4899088542,0.4951171875,0.4951171875,0.6963042208,0.0536397587,0.0536397587,0.0943251510,0.8081944371,0.9217719726,-0.0412199051,-0.4748421016,0.1465045994,0.1877245046,0.1410045501,0.0954636856,0.0320753322,0.0107575711,0.0519774763,0.0459429140,0.7142713357,0.7323851855,0.0000000000,0.0000000000,1.8956297048,0.0000000000,0.0000000000
0.0000000000,3.4239544141,0.0905212901,0.0073966025,0.0000000000,1.8395988355,2.2771842946,0.4288736979,0.4817708333,0.4967447917,0.4803059896,0.4659830729,0.4658203125,3.7525248678,0.5200501614,0.5200501614,0.8355487130,4.1459521291,4.4798169706,-0.0831246876,-1.1467701194,2.1866630045,2.2697876922,2.2771842946,0.4375854591,0.3285704538,0.4295288713,0.5126535589,0.8355487130,2.3063532936,2.2026326760,0.0000000000,0.0000000000,1.8956297048,0.0000000000,0.0000000000
10.0000000000,11.0037043074,0.0000000000,0.2141655740,0.0000000000,9.4314251033,10.2205918976,0.3320312500,0.4568684896,0.4773763021,0.4674479167,0.3597005208,0.3556315104,12.2480484533,4.0971883713,4.0971883713,4.8049617218,12.9585622084,13.4480777374,0.2141655740,-0.7831124098,10.2205918976,10.0064263235,10.2205918976,0.7891667943,1.2443441458,4.0971883713,3.8830227973,4.8049617218,3.5271371051,3.2274858398,0.0000000000,0.0000000000,1.8956297048,0.0000000000,0.0000000000
20.0000000000,22.7492213369,0.0000000000,10.5884357300,0.0000000000,21.6081677241,22.4206529424,0.2187500000,0.3750000000,0.3110351562,0.4542643229,0.2395833333,0.2281901042,26.7673618085,17.2088343735,17.2088343735,15.7437697826,27.4924253227,27.9145654210,10.5884357300,-0.3285683945,22.4206529424,11.8322172124,22.4206529424,0.8124852183,4.0181404716,17.2088343735,6.6203986435,15.7437697826,5.8842575986,5.4939124786,0.0000000000,0.0000000000,1.8956297048,0.0000000000,0.0000000000
30.0000000000,31.8720014440,5.0213328420,33.4974876725,0.0000000000,36.0203399215,36.5922685463,0.1378580729,0.1661783854,0.0968424479,0.4410807292,0.1074218750,0.1053059896,45.7351566133,39.6408621259,39.6408621259,33.1230082721,45.5249192170,45.7487352750,28.4761548305,4.7202671022,31.5709357043,3.0947808738,36.5922685463,0.5719286248,13.8631551693,34.6195292840,6.1433744535,33.1230082721,9.5045792955,9.1564667287,0.0000000000,0.0000000000,1.8956297048,0.0000000000,0.0000000000
