snr_db,svd,gmd,gmd_thp,baseline,low_step_ao,soft_ao,svd_ber,gmd_ber,gmd_thp_ber,baseline_ber,low_step_ao_ber,soft_ao_ber,svd_gaussian,gmd_gaussian,gmd_thp_gaussian,baseline_gaussian,low_step_ao_gaussian,soft_ao_gaussian,gain_gmd_thp_vs_gmd,gain_soft_ao_vs_svd,gain_soft_ao_vs_gmd,gain_soft_ao_vs_gmd_thp,gain_soft_ao_vs_baseline,gain_soft_ao_vs_low_step_ao,gap_gaussian_vs_svd,gap_gaussian_vs_gmd,gap_gaussian_vs_gmd_thp,gap_gaussian_vs_baseline,gap_gaussian_vs_low_step_ao,gap_gaussian_vs_soft_ao,svd_leakage,gmd_leakage,baseline_leakage,low_step_ao_leakage,soft_ao_leakage
-10.0000000000,0.7124574343,0.0342774433,0.0005423042,0.1555503350,0.0429798788,0.1018970304,0.4716796875,0.4899088542,0.5013020833,0.4829101562,0.4943033854,0.4843750000,0.8113984316,0.0688197525,0.0688197525,0.4186581215,0.8887229852,0.9727854825,-0.0337351391,-0.6105604039,0.0676195870,0.1013547261,-0.0536533047,0.0589171515,0.0989409973,0.0345423092,0.0682774483,0.2631077865,0.8457431064,0.8708884521,0.0357027704,0.0357027704,1.5421665269,0.0325774125,0.0299530978
0.0000000000,3.9615066556,0.0000000000,0.0000000000,0.0000000000,2.2687693711,2.8980922621,0.4168294271,0.4791666667,0.5029296875,0.4563802083,0.4562174479,0.4440104167,4.6807443072,0.6515767195,0.6515767195,2.9665644226,5.1837674910,5.5621410938,0.0000000000,-1.0634143936,2.8980922621,2.8980922621,2.8980922621,0.6293228910,0.7192376516,0.6515767195,0.6515767195,2.9665644226,2.9149981199,2.6640488317,0.0357027704,0.0357027704,1.5421665269,0.0268337858,0.0207017255
10.0000000000,9.4026165365,0.0000000000,0.2806751281,0.0000000000,9.7239630497,10.7743764572,0.3502604167,0.4778645833,0.4842122396,0.4360351562,0.3523763021,0.3457031250,14.2045630754,4.5869634335,4.5869634335,11.2466318716,15.1261767594,15.8703063325,0.2806751281,1.3717599207,10.7743764572,10.4937013291,10.7743764572,1.0504134075,4.8019465389,4.5869634335,4.3062883054,11.2466318716,5.4022137098,5.0959298752,0.0357027704,0.0357027704,1.5421665269,0.0297119077,0.0249395611
20.0000000000,1.6827679198,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2999674479,0.4627278646,0.4241536458,0.4208984375,0.4301757812,0.4184570312,27.5538056040,16.9759995427,16.9759995427,26.7062574651,17.8145522873,18.2561791505,0.0000000000,-1.6827679198,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25.8710376842,16.9759995427,16.9759995427,26.7062574651,17.8145522873,18.2561791505,0.0357027704,0.0357027704,1.5421665269,0.0359355317,0.0366776220
30.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2884114583,0.4492187500,0.3994140625,0.4039713542,0.3876953125,0.4075520833,44.1928395814,37.6382823131,37.6382823131,48.5267681291,38.3277747034,38.2700400771,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,44.1928395814,37.6382823131,37.6382823131,48.5267681291,38.3277747034,38.2700400771,0.0357027704,0.0357027704,1.5421665269,0.0357358890,0.0326084771
