snr_db,svd,gmd,ucd,ao,gain_gmd_vs_svd,gain_ucd_vs_svd,gain_ao_vs_svd,gain_ao_vs_gmd,svd_ber,gmd_ber,ucd_ber,ao_ber,svd_leakage,gmd_leakage,ucd_leakage,ao_leakage,ao_init_frac_svd,ao_init_frac_ucd
10.0,21.146331140378678,12.799374505151711,15.16893363763649,21.875183391646722,-8.346956635226967,-5.977397502742187,0.7288522512680444,9.075808886495011,0.701416015625,0.25927734375,0.23323567708333334,0.685546875,0.0,0.0,0.0,6.753330620108172e-14,1.0,0.0
12.5,25.849532666534547,20.040265222580878,21.597127890314468,26.702825380379082,-5.809267443953669,-4.252404776220079,0.8532927138445352,6.662560157798204,0.58447265625,0.1865234375,0.17513020833333331,0.5732421875,0.0,0.0,0.0,6.69427188122748e-14,1.0,0.0
15.0,30.462774924617424,27.474090764125236,28.640526143230048,31.870714281301233,-2.9886841604921877,-1.8222487813873762,1.4079393566838085,4.396623517175996,0.463623046875,0.13102213541666669,0.12662760416666666,0.45361328125,0.0,0.0,0.0,9.438727771860148e-14,1.0,0.0
17.5,34.50096347416628,34.50820476422608,35.274850387995784,36.7237111815521,0.007241290059802452,0.7738869138295073,2.222747707385821,2.2155064173260186,0.360107421875,0.08610026041666666,0.08154296875,0.07454427083333333,0.0,0.0,0.0,6.497153006420813e-14,0.0,1.0
20.0,37.759082659971014,40.83803030033249,41.29104146244321,42.44050143795181,3.078947640361477,3.5319588024721966,4.681418777980795,1.6024711376193181,0.278076171875,0.044108072916666664,0.039713541666666664,0.03206380208333333,0.0,0.0,0.0,5.5543482366632143e-14,0.0,1.0
