snr_db,avg_svd,avg_gmd,gain_gmd_vs_svd,avg_svd_leakage,avg_gmd_leakage
-10.0,0.06270966730021854,0.014350971529619727,-0.048358695770598814,0.0,0.0
-7.5,0.10900658423120824,0.020613451315576015,-0.08839313291563222,0.0,0.0
-5.0,0.18953020670293697,0.029860485029107764,-0.1596697216738292,0.0,0.0
-2.5,0.32833979883333697,0.04438706935548531,-0.28395272947785166,0.0,0.0
0.0,0.5635973694406431,0.0637941588696993,-0.4998032105709438,0.0,0.0
2.5,0.950774123279432,0.08503728329444193,-0.8657368399849901,0.0,0.0
5.0,1.5580493849352042,0.09268470176703225,-1.465364683168172,0.0,0.0
7.5,2.4508257818585175,0.0715615722812899,-2.3792642095772276,0.0,0.0
10.0,3.6867764295379004,0.018141001506984722,-3.6686354280309157,0.0,0.0
12.5,5.284167830696658,0.0,-5.284167830696658,0.0,0.0
15.0,7.259339750580082,0.0,-7.259339750580082,0.0,0.0
17.5,9.608735537676356,0.0,-9.608735537676356,0.0,0.0
20.0,12.24070950225049,0.0,-12.24070950225049,0.0,0.0
22.5,15.016055032310955,0.0,-15.016055032310955,0.0,0.0
25.0,17.746071568829134,0.0,-17.746071568829134,0.0,0.0
27.5,20.219207355651836,0.0,-20.219207355651836,0.0,0.0
30.0,22.426131784007662,0.0,-22.426131784007662,0.0,0.0
32.5,24.379864863275657,0.0,-24.379864863275657,0.0,0.0
35.0,26.02687320586822,0.0,-26.02687320586822,0.0,0.0
37.5,27.499884329968047,0.0,-27.499884329968047,0.0,0.0
40.0,29.14041453370813,0.0,-29.14041453370813,0.0,0.0
42.5,31.197873172749375,0.0,-31.197873172749375,0.0,0.0
45.0,33.6599033999324,21.64017895313637,-12.019724446796033,0.0,0.0
47.5,36.34210962527406,39.26579176375289,2.9236821384788243,0.0,0.0
50.0,39.168471586032766,42.353955216790325,3.1854836307575596,0.0,0.0
