snr_db,avg_svd,avg_gmd,avg_ucd,gain_gmd_vs_svd,gain_ucd_vs_svd,gain_ucd_vs_gmd,avg_svd_ber,avg_gmd_ber,avg_ucd_ber,avg_svd_leakage,avg_gmd_leakage,avg_ucd_leakage
0.0,6.601900895900453,0.2139056806216395,0.447760717602252,-6.3879952152788135,-6.154140178298201,0.2338550369806125,0.36661783854166663,0.47029622395833337,0.4525553385416667,0.0,0.0,0.0
2.5,9.53544324433181,1.5239001427576806,2.238980078311199,-8.01154310157413,-7.296463166020612,0.7150799355535185,0.32975260416666663,0.421875,0.39925130208333337,0.0,0.0,0.0
5.0,13.196876188392567,4.85539572975202,6.019306149887582,-8.341480458640547,-7.177570038504985,1.1639104201355615,0.2815755208333333,0.36027018229166663,0.339599609375,0.0,0.0,0.0
7.5,17.577896160191376,10.049714274195942,11.27190759831647,-7.5281818859954335,-6.305988561874905,1.2221933241205285,0.234375,0.2861328125,0.2738444010416667,0.0,0.0,0.0
10.0,22.59719936748141,16.739454764987602,17.707096255025313,-5.857744602493806,-4.890103112456096,0.9676414900377104,0.19051106770833331,0.21761067708333334,0.20694986979166669,0.0,0.0,0.0
12.5,28.000841531421713,24.23303493438915,24.87966614328761,-3.767806597032564,-3.121175388134102,0.6466312088984623,0.14314778645833334,0.15413411458333334,0.14957682291666669,0.0,0.0,0.0
15.0,33.45987993396477,31.581512943394365,31.940585692938633,-1.878366990570406,-1.519294241026138,0.3590727495442678,0.09708658854166666,0.10262044270833333,0.10188802083333333,0.0,0.0,0.0
17.5,38.31019764168577,38.262583220204974,38.43131883096397,-0.04761442148079453,0.12112118927819893,0.16873561075899346,0.06201171875,0.05712890625,0.055908203125,0.0,0.0,0.0
20.0,41.96236325879991,43.76762456165824,43.85233930737985,1.8052613028583266,1.889976048579939,0.08471474572161242,0.03865559895833333,0.024495442708333336,0.024007161458333336,0.0,0.0,0.0
22.5,44.56771748324066,46.966150535500375,46.981449872590936,2.398433052259712,2.4137323893502725,0.015299337090560527,0.021647135416666664,0.005045572916666667,0.0048828125,0.0,0.0,0.0
25.0,46.23152758688789,47.87786783847611,47.87856091874696,1.6463402515882137,1.6470333318590704,0.000693080270856683,0.009602864583333334,0.00048828125,0.00048828125,0.0,0.0,0.0
27.5,47.25588433464144,47.99013800168414,47.99288735108091,0.7342536670426938,0.7370030164394663,0.0027493493967725158,0.003824869791666666,8.138020833333333e-05,8.138020833333333e-05,0.0,0.0,0.0
30.0,47.75004342546693,47.999999984220906,47.99999999178863,0.24995655875397915,0.24995656632169982,7.567720672341238e-09,0.0010579427083333335,0.0,0.0,0.0,0.0,0.0
32.5,47.930396746098396,48.0,48.0,0.06960325390160449,0.06960325390160449,0.0,0.0003255208333333333,0.0,0.0,0.0,0.0,0.0
35.0,47.998224791388935,48.0,48.0,0.001775208611064727,0.001775208611064727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,47.99999999516154,48.0,48.0,4.838462075440475e-09,4.838462075440475e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
