snr_db,avg_svd,avg_gmd_thp,gain_gmd_thp_vs_svd,avg_svd_leakage,avg_gmd_thp_leakage
-10.0,0.984656853697218,0.0008773397469843403,-0.9837795139502337,0.0,0.0
-5.0,2.657543692320835,0.0014290508228409493,-2.656114641497994,0.0,0.0
0.0,5.897397072045129,0.003094402673482932,-5.894302669371646,0.0,0.0
5.0,10.295480330391232,0.25141008323330905,-10.044070247157922,0.0,0.0
10.0,14.500113890694873,3.2884913920443255,-11.211622498650549,0.0,0.0
15.0,17.724025339316213,13.400072123188234,-4.323953216127979,0.0,0.0
20.0,20.772712050763747,25.479624314140864,4.7069122633771165,0.0,0.0
25.0,24.413647791259642,31.614156965898804,7.200509174639162,0.0,0.0
30.0,28.321958744728942,31.99999921515326,3.6780404704243175,0.0,0.0
35.0,30.897591099567098,32.0,1.102408900432902,0.0,0.0
40.0,31.884328002249497,32.0,0.11567199775050341,0.0,0.0
