snr_db,avg_svd,avg_gmd_thp,gain_gmd_thp_vs_svd,avg_svd_leakage,avg_gmd_thp_leakage
-10.0,0.9680087675160767,0.0,-0.9680087675160767,0.0,0.0
-5.0,2.532704483964535,0.006908435634802146,-2.525796048329733,0.0,0.0
0.0,5.5620179775628795,0.0,-5.5620179775628795,0.0,0.0
5.0,10.239946309604285,0.1932143641725368,-10.046731945431748,0.0,0.0
10.0,16.318657595107737,2.6047012002274332,-13.713956394880304,0.0,0.0
15.0,22.60905314044359,11.513149054785817,-11.095904085657772,0.0,0.0
20.0,27.72213033893723,25.47561379480949,-2.24651654412774,0.0,0.0
25.0,32.584638730466885,38.8542499882056,6.269611257738717,0.0,0.0
30.0,37.54565905722823,46.916169111882866,9.370510054654638,0.0,0.0
35.0,42.5294813647598,47.99978371137425,5.470302346614446,0.0,0.0
40.0,46.17298113366563,48.0,1.8270188663343703,0.0,0.0
