snr_db,avg_svd,avg_gmd_thp,gain_gmd_thp_vs_svd,avg_svd_leakage,avg_gmd_thp_leakage
-10.0,1.01405987490684,0.0036320294612153248,-1.0104278454456246,0.0,0.0
-5.0,2.9007428081034643,0.0031066467434319733,-2.8976361613600323,0.0,0.0
0.0,7.12099987240417,0.2974866944419947,-6.823513177962175,0.0,0.0
5.0,14.01540941876548,6.272287104966064,-7.743122313799415,0.0,0.0
10.0,22.050541504681256,19.29965207587434,-2.7508894288069143,0.0,0.0
15.0,28.043860091567666,29.997427524297933,1.9535674327302672,0.0,0.0
20.0,31.01214080934768,31.99391396509617,0.9817731557484883,0.0,0.0
25.0,31.97594557057304,32.0,0.02405442942696112,0.0,0.0
30.0,31.999999997293877,32.0,2.7061233254244144e-09,0.0,0.0
35.0,32.0,32.0,0.0,0.0,0.0
40.0,32.0,32.0,0.0,0.0,0.0
