row_index,bits_1,bits_2,mapped_index,real_part,imag_part
0,0,0,0,0.707106781186548,0.707106781186547
1,0,1,2,0.707106781186547,-0.707106781186548
2,1,0,3,-0.707106781186548,-0.707106781186547
3,1,1,1,-0.707106781186547,0.707106781186548
