row_index,bits,real_part,imag_part,hard_bits_from_soft
0,00,0.707106781186548,0.707106781186547,00
1,01,0.707106781186547,-0.707106781186548,01
2,10,-0.707106781186548,-0.707106781186547,10
3,11,-0.707106781186547,0.707106781186548,11
