channel_index,config_id,snr_db,svd_rate,ucd_rate,delta_rate
5,0,21,31.955053,34.201122,2.2460686
5,0,22,33.355878,37.797593,4.4417152
5,0,23,34.673245,41.202548,6.5293022
5,0,24,35.994699,44.007859,8.0131604
5,0,25,37.355151,45.967387,8.6122362
5,0,26,nan,nan,nan
5,0,27,nan,nan,nan
5,0,28,nan,nan,nan
5,0,29,nan,nan,nan
5,0,30,42.629965,47.999949,5.3699844
6,0,0,1.766513,0.43457743,-1.3319356
6,0,1,nan,nan,nan
6,0,2,nan,nan,nan
6,0,3,nan,nan,nan
6,0,4,nan,nan,nan
6,0,5,4.4972871,2.2040462,-2.2932408
6,0,6,nan,nan,nan
6,0,7,nan,nan,nan
6,0,8,nan,nan,nan
6,0,9,nan,nan,nan
6,0,10,11.077141,5.8314373,-5.2457033
6,0,11,nan,nan,nan
6,0,12,nan,nan,nan
6,0,13,nan,nan,nan
6,0,14,nan,nan,nan
6,0,15,19.50774,13.406116,-6.101624
6,0,16,21.179558,16.010323,-5.169235
6,0,17,22.915681,17.855038,-5.0606435
6,0,18,24.680027,21.045089,-3.6349378
6,0,19,26.41001,26.274896,-0.13511344
6,0,20,28.088924,29.79924,1.7103162
6,0,21,29.689903,33.376153,3.6862498
6,0,22,nan,nan,nan
6,0,23,nan,nan,nan
6,0,24,nan,nan,nan
6,0,25,35.402848,44.700287,9.2974392
6,0,26,nan,nan,nan
6,0,27,nan,nan,nan
6,0,28,nan,nan,nan
6,0,29,nan,nan,nan
6,0,30,41.23517,47.994392,6.7592217
7,0,0,0.12282465,0.023632542,-0.099192109
7,0,1,nan,nan,nan
7,0,2,nan,nan,nan
7,0,3,nan,nan,nan
7,0,4,nan,nan,nan
7,0,5,1.5493031,0.40160443,-1.1476987
7,0,6,nan,nan,nan
7,0,7,nan,nan,nan
7,0,8,nan,nan,nan
7,0,9,nan,nan,nan
7,0,10,5.6266147,0.26820454,-5.3584102
7,0,11,nan,nan,nan
7,0,12,nan,nan,nan
7,0,13,nan,nan,nan
7,0,14,nan,nan,nan
7,0,15,11.532866,3.9884203,-7.5444452
7,0,16,nan,nan,nan
7,0,17,nan,nan,nan
7,0,18,nan,nan,nan
7,0,19,nan,nan,nan
7,0,20,20.772055,3.6438663,-17.128188
7,0,21,nan,nan,nan
7,0,22,nan,nan,nan
7,0,23,25.274421,13.961746,-11.312675
7,0,24,26.332745,19.490381,-6.8423639
7,0,25,27.237156,24.889426,-2.3477297
7,0,26,28.031171,28.264408,0.23323757
7,0,27,28.773417,32.785548,4.0121305
7,0,28,29.568974,37.872487,8.3035124
7,0,29,30.514414,41.026215,10.511801
7,0,30,31.642705,43.142103,11.499398
8,0,0,1.9529522,0.11543051,-1.8375217
8,0,1,nan,nan,nan
8,0,2,nan,nan,nan
8,0,3,nan,nan,nan
8,0,4,nan,nan,nan
8,0,5,5.5579689,1.2396978,-4.3182711
8,0,6,nan,nan,nan
