channel_index,config_id,threshold_db,crossing_type,delta_min,delta_max
0,0,0.48782183,reverse_cross,nan,nan
1,0,11,always_svd,-5.1496816,-0.96451903
2,1,11,always_svd,-1.774577,-0.23720342
3,1,11,always_svd,-3.5894965,-0.86804108
4,2,11,always_svd,-0.79391716,-0.26406756
5,2,8.1082314,single_cross,nan,nan
