snr_db,avg_svd,avg_gmd_thp,gain_gmd_thp_vs_svd,avg_svd_leakage,avg_gmd_thp_leakage
-10.0,0.7521891362931026,0.003461756115746617,-0.748727380177356,0.0,0.0
-5.0,2.0650894135027684,0.0010778357578438147,-2.0640115777449246,0.0,0.0
0.0,4.7359157415884505,0.0008914072556800434,-4.7350243343327705,0.0,0.0
5.0,8.638082034745945,0.00378213058651955,-8.634299904159427,0.0,0.0
10.0,12.754638514949132,0.6433501597684348,-12.111288355180697,0.0,0.0
15.0,15.99075292759083,7.9180731804723195,-8.07267974711851,0.0,0.0
20.0,18.929461277833106,21.112637445322083,2.183176167488977,0.0,0.0
25.0,22.420164035877214,30.642053895517897,8.221889859640683,0.0,0.0
30.0,26.676587589444505,31.99964555717504,5.323057967730534,0.0,0.0
35.0,30.039254937672982,32.0,1.9607450623270175,0.0,0.0
40.0,31.717915763742212,32.0,0.2820842362577878,0.0,0.0
