snr_db,avg_svd,avg_gmd_thp,gain_gmd_thp_vs_svd,avg_svd_leakage,avg_gmd_thp_leakage
-10.0,0.06270966730021854,0.00010386056337097216,-0.06260580673684757,0.0,0.0
-5.0,0.1895302067029423,0.00015704777817404647,-0.18937315892476825,0.0,0.0
0.0,0.5635973694406431,0.002227909651535853,-0.5613694597891072,0.0,0.0
5.0,1.5580493849352024,0.00337153454371375,-1.5546778503914886,0.0,0.0
10.0,3.6867764295379004,0.001498930978538482,-3.685277498559362,0.0,0.0
15.0,7.259339750580086,0.004993116563840161,-7.254346634016246,0.0,0.0
20.0,12.240709502250487,0.02719419362122899,-12.213515308629258,0.0,0.0
25.0,17.746071568829134,1.6162812580395993,-16.129790310789534,0.0,0.0
30.0,22.42613178400766,9.66624866524432,-12.759883118763339,0.0,0.0
35.0,26.02687320586822,23.278709884293946,-2.7481633215742747,0.0,0.0
40.0,29.14041453370813,37.26797230763703,8.127557773928899,0.0,0.0
