snr_db,avg_svd,avg_gmd_thp,gain_gmd_thp_vs_svd,avg_svd_leakage,avg_gmd_thp_leakage
-10.0,1.0484432158105648,0.005171285394183656,-1.043271930416381,0.0,0.0
-5.0,2.854557457274929,0.007182316318681714,-2.847375140956247,0.0,0.0
0.0,6.8038771827705204,0.19296723414494465,-6.610909948625576,0.0,0.0
5.0,13.541219223395014,4.999773423756295,-8.54144579963872,0.0,0.0
10.0,23.044972749697383,17.087259376991526,-5.957713372705857,0.0,0.0
15.0,33.70523105110068,31.910562427776007,-1.7946686233246751,0.0,0.0
20.0,42.018046193661824,44.13867791786977,2.1206317242079464,0.0,0.0
25.0,46.22523088758212,47.943032745532435,1.7178018579503131,0.0,0.0
30.0,47.864253180152495,47.9999999999959,0.13574681984340486,0.0,0.0
35.0,47.999957292727025,48.0,4.270727297495114e-05,0.0,0.0
40.0,48.0,48.0,0.0,0.0,0.0
