snr_db,avg_svd,avg_gmd,gain_gmd_vs_svd,avg_svd_leakage,avg_gmd_leakage
-10.0,0.7269366674542397,0.1012636223132688,-0.6256730451409709,0.0,0.0
-7.5,1.2154537945683987,0.13519096965470112,-1.0802628249136976,0.0,0.0
-5.0,1.9695952011405051,0.15374699244565093,-1.8158482086948542,0.0,0.0
-2.5,3.049156301699206,0.0978701547823988,-2.9512861469168072,0.0,0.0
0.0,4.486325038848046,0.030291375462059733,-4.456033663385986,0.0,0.0
2.5,6.307573448661639,0.0,-6.307573448661639,0.0,0.0
5.0,8.517493583392657,0.0,-8.517493583392657,0.0,0.0
7.5,11.09300390513099,0.0,-11.09300390513099,0.0,0.0
10.0,13.941770761980905,0.0,-13.941770761980905,0.0,0.0
12.5,16.951126976909435,0.0,-16.951126976909435,0.0,0.0
15.0,19.903699522734538,0.0,-19.903699522734538,0.0,0.0
17.5,22.514368432507133,0.0,-22.514368432507133,0.0,0.0
20.0,25.00557088920353,0.0,-25.00557088920353,0.0,0.0
22.5,27.477868643096834,0.0,-27.477868643096834,0.0,0.0
25.0,29.850912564845412,0.0,-29.850912564845412,0.0,0.0
27.5,32.28525627758444,0.0,-32.28525627758444,0.0,0.0
30.0,34.87747667726603,6.300975611208123,-28.576501066057908,0.0,0.0
32.5,37.593071228412086,35.083426462752676,-2.5096447656594094,0.0,0.0
35.0,40.414034915208006,47.32559116670616,6.911556251498155,0.0,0.0
37.5,43.003181680521394,47.99999930866647,4.996817628145074,0.0,0.0
40.0,44.966578668306134,48.0,3.033421331693866,0.0,0.0
42.5,46.368340995988966,48.0,1.6316590040110341,0.0,0.0
45.0,47.347234591957765,48.0,0.6527654080422352,0.0,0.0
47.5,47.85498255762848,48.0,0.14501744237151826,0.0,0.0
50.0,47.99194613488851,48.0,0.008053865111492087,0.0,0.0
