snr_db,avg_svd,avg_gmd,gain_gmd_vs_svd,avg_svd_leakage,avg_gmd_leakage
-10.0,1.0484432158105559,0.6638477692567726,-0.3845954465537833,0.0,0.0
-7.5,1.7482523698157983,1.038075674182684,-0.7101766956331144,0.0,0.0
-5.0,2.854557457274936,1.5927140097531218,-1.261843447521814,0.0,0.0
-2.5,4.504115430527937,2.419361077109434,-2.0847543534185036,0.0,0.0
0.0,6.803877182770519,3.6391892636907155,-3.164687919079803,0.0,0.0
2.5,9.824186926375466,5.448572117153086,-4.37561480922238,0.0,0.0
5.0,13.541219223395016,8.235573308577015,-5.305645914818001,0.0,0.0
7.5,17.958688924944894,11.687929523068425,-6.27075940187647,0.0,0.0
10.0,23.04497274969738,15.8870426125984,-7.15793013709898,0.0,0.0
12.5,28.419501709307553,20.358049720603038,-8.061451988704516,0.0,0.0
15.0,33.70523105110068,25.179879355672412,-8.52535169542827,0.0,0.0
17.5,38.4007945232591,31.03256702621664,-7.3682274970424615,0.0,0.0
20.0,42.01804619366182,39.41710456969157,-2.6009416239702503,0.0,0.0
22.5,44.540148583566626,45.37191342991857,0.8317648463519447,0.0,0.0
25.0,46.22523088758212,47.736602564183215,1.5113716766010938,0.0,0.0
27.5,47.309653748565935,47.99992752493395,0.6902737763680165,0.0,0.0
30.0,47.864253180152495,47.99999999999592,0.13574681984342618,0.0,0.0
32.5,47.98630967269767,48.0,0.013690327302327887,0.0,0.0
35.0,47.999957292727025,48.0,4.270727297495114e-05,0.0,0.0
37.5,47.999999999973255,48.0,2.674482857401017e-11,0.0,0.0
40.0,48.0,48.0,0.0,0.0,0.0
42.5,48.0,48.0,0.0,0.0,0.0
45.0,48.0,48.0,0.0,0.0,0.0
47.5,48.0,48.0,0.0,0.0,0.0
50.0,48.0,48.0,0.0,0.0,0.0
