snr_db,avg_svd,avg_gmd_thp,gain_gmd_thp_vs_svd,avg_svd_leakage,avg_gmd_thp_leakage
-10.0,0.6417157900963399,0.0,-0.6417157900963399,0.0,0.0
-5.0,1.658490658727139,0.0018017886661212401,-1.6566888700610178,0.0,0.0
0.0,3.7054666883421685,0.010297814967849206,-3.6951688733743193,0.0,0.0
5.0,7.166758375762999,0.004431757215929366,-7.16232661854707,0.0,0.0
10.0,12.154094615170134,0.7841282945640344,-11.3699663206061,0.0,0.0
15.0,18.262557128601014,6.361434296203717,-11.901122832397297,0.0,0.0
20.0,24.532862870142623,17.247038929572835,-7.285823940569788,0.0,0.0
25.0,30.620614128322345,30.62302696608245,0.0024128377601044804,0.0,0.0
30.0,35.96446894193856,41.73507753940988,5.770608597471316,0.0,0.0
35.0,39.93493223808696,46.49213867883326,6.557206440746299,0.0,0.0
40.0,43.168739087758745,47.95124157043367,4.7825024826749285,0.0,0.0
