snr_db,avg_svd,avg_gmd_thp,gain_gmd_thp_vs_svd,avg_svd_leakage,avg_gmd_thp_leakage
-10.0,0.7269366674542415,0.0004120990540901204,-0.7265245684001513,0.0,0.0
-5.0,1.9695952011405033,0.0012016405030497168,-1.9683935606374536,0.0,0.0
0.0,4.486325038848049,0.0071633585298016555,-4.4791616803182475,0.0,0.0
5.0,8.517493583392657,0.004495645799758918,-8.512997937592898,0.0,0.0
10.0,13.941770761980921,0.47717354951816837,-13.464597212462753,0.0,0.0
15.0,19.903699522734534,6.3318165716328565,-13.571882951101678,0.0,0.0
20.0,25.005570889203533,19.142606967964685,-5.862963921238848,0.0,0.0
25.0,29.850912564845412,33.83320660131888,3.9822940364734656,0.0,0.0
30.0,34.877476677266024,45.154939283323934,10.27746260605791,0.0,0.0
35.0,40.41403491520801,47.98608707105468,7.57205215584667,0.0,0.0
40.0,44.966578668306134,48.0,3.033421331693866,0.0,0.0
