snr_db,svd,gmd,ucd,gain_gmd_vs_svd,gain_ucd_vs_svd,gain_ucd_vs_gmd,svd_ber,gmd_ber,ucd_ber,svd_leakage,gmd_leakage,ucd_leakage
0.0,5.311433235539417,0.010936638603984505,0.0978445021360379,-5.3004965969354325,-5.2135887334033795,0.0869078635320534,0.94326171875,0.497900390625,0.4804524739583333,0.0,0.0,0.0
10.0,17.70673829229794,4.242047000597321,6.005977898812629,-13.464691291700618,-11.700760393485309,1.7639308982153086,0.755029296875,0.3989908854166667,0.3620930989583334,0.0,0.0,0.0
20.0,33.508940941727104,25.4055724953329,27.15733586046364,-8.103368446394203,-6.351605081263465,1.7517633651307385,0.3724609375,0.16295572916666665,0.13896484375,0.0,0.0,0.0
30.0,42.58337791490478,47.0446450064318,47.32861883318047,4.46126709152702,4.745240918275691,0.2839738267486709,0.145361328125,0.0051920572916666664,0.003401692708333333,0.0,0.0,0.0
40.0,46.66460117376651,48.0,48.0,1.3353988262334866,1.3353988262334866,0.0,0.038525390625,0.0,0.0,0.0,0.0,0.0
50.0,47.82121616317795,48.0,48.0,0.17878383682204912,0.17878383682204912,0.0,0.00517578125,0.0,0.0,0.0,0.0,0.0
