lambda_user,sum_rate,min_user_rate,mean_user_rate,normalized_gap,offdiag_to_desired,user_1_rate,user_2_rate,user_3_rate,user_4_rate
0.0000000000,22.3258178687,4.6912430143,5.5814544672,0.0866580034,0.0000000008,5.6086735871,5.5154792408,6.5104220265,4.6912430143
5.0000000000,22.3297703133,4.8496314635,5.5824425783,0.0702459657,0.0000000006,5.5503195330,5.4836791936,6.4461401232,4.8496314635
10.0000000000,22.4620359164,4.9473962259,5.6155089791,0.0632508519,0.0000000013,5.5262608304,5.4953720897,6.4930067705,4.9473962259
20.0000000000,22.3135260344,5.0960803415,5.5783815086,0.0451827150,0.0000000010,5.4497522189,5.3543416782,6.4133517958,5.0960803415
50.0000000000,22.0379896442,5.2825194244,5.5094974111,0.0210320267,0.0000000015,5.3791456860,5.2825194244,6.0569814800,5.3193430538
100.0000000000,22.0239701774,5.2226939751,5.5059925443,0.0264057085,0.0000000009,5.2625998110,5.4180739429,6.1206024483,5.2226939751
