channel_index,config_id,threshold_db,crossing_type,delta_min,delta_max
638,0,17.501354,single_cross,-3.1096305,6.7110275
639,0,19.464676,single_cross,-3.0989832,6.0276225
640,0,16.160088,single_cross,-2.5848597,7.6634174
641,0,19.54428,single_cross,-5.1149492,8.5620094
642,0,21.156959,single_cross,-4.2265885,8.1490564
643,0,21.377508,single_cross,-7.8126649,10.025104
644,0,17.214749,single_cross,-3.1592808,7.1693747
645,0,15.914957,single_cross,-1.6499016,4.0358873
646,0,19.677851,single_cross,-4.8119043,9.8643599
647,0,20.33863,single_cross,-2.4413666,5.407075
648,0,17.258433,single_cross,-2.5501147,5.8001413
649,0,16.533708,single_cross,-3.0371537,7.4982271
650,0,21.327897,single_cross,-3.9323386,8.3143388
651,0,17.617755,single_cross,-4.1285887,9.4981471
652,0,18.317192,single_cross,-3.3302641,7.9136463
653,0,22.657169,single_cross,-9.6205124,11.050073
654,0,18.026391,single_cross,-4.7577361,9.8054715
655,0,19.349085,single_cross,-6.337779,9.7576276
656,0,17.711422,single_cross,-4.3815538,8.6352626
657,0,19.666167,single_cross,-3.8358483,8.4049077
658,0,18.722334,single_cross,-4.8585612,9.3823585
659,0,22.101207,single_cross,-9.169039,11.719891
660,0,20.208807,single_cross,-3.1439833,7.7732907
661,0,23.782833,single_cross,-9.5439065,10.116897
662,0,21.167991,single_cross,-5.1319722,9.8590084
663,0,20.447578,single_cross,-5.427514,8.7605567
664,0,18.36222,single_cross,-5.9494989,9.826438
665,0,20.108263,single_cross,-3.3171669,7.1225835
666,0,20.338745,single_cross,-5.9376404,9.543928
667,0,20.908466,single_cross,-3.6103675,7.564711
668,0,18.411966,single_cross,-4.5134764,9.0183976
669,0,18.984347,single_cross,-2.8413549,6.4311447
670,0,20.532057,single_cross,-5.5042464,7.8811829
671,0,22.6352,single_cross,-5.1577209,9.9801463
672,0,21.606137,single_cross,-3.4176979,8.4014935
673,0,19.990567,single_cross,-4.0542301,8.5909523
674,0,19.416293,single_cross,-4.2152157,8.9243374
675,0,17.198064,single_cross,-3.4179259,7.8354959
676,0,17.383942,single_cross,-2.2470883,6.1373502
677,0,21.197692,single_cross,-4.0911047,8.8926111
678,0,18.83242,single_cross,-6.8669554,9.6617307
679,0,20.740696,single_cross,-5.0850713,8.7814202
680,0,23.077091,single_cross,-5.1674914,9.5133298
681,0,17.725381,single_cross,-2.3339027,5.3466483
682,0,19.394523,single_cross,-3.3932062,7.8901103
683,0,18.189578,single_cross,-2.3001619,5.1594931
684,0,22.610713,single_cross,-6.7379709,10.704936
685,0,18.117317,single_cross,-2.8063072,5.7231995
686,0,19.427541,single_cross,-5.135349,8.7411749
687,0,20.838566,single_cross,-3.4496369,7.4809525
688,0,17.619764,single_cross,-2.3818299,5.5897937
689,0,21.503177,single_cross,-6.9231977,8.8883761
690,0,21.332701,single_cross,-6.4061442,11.523531
691,0,20.092916,single_cross,-2.9368898,6.9862794
692,0,20.957683,single_cross,-2.2139317,4.3425503
693,0,20.280334,single_cross,-6.9896989,11.095892
694,0,21.781151,single_cross,-3.1236598,6.4994218
695,0,19.28429,single_cross,-3.6969652,7.8871091
696,0,20.366591,single_cross,-4.0752129,7.7293674
697,0,19.23434,single_cross,-6.0435223,8.7583459
698,0,21.970543,single_cross,-6.6950115,9.5040957
699,0,19.801143,single_cross,-4.5468422,9.820758
700,0,23.635252,single_cross,-5.524272,9.5427625
701,0,18.045872,single_cross,-4.0872852,8.8929691
702,0,18.286147,single_cross,-3.2635275,7.7344258
703,0,17.371082,single_cross,-2.3879547,6.0935325
704,0,22.413317,single_cross,-4.6057805,8.7194641
705,0,21.146694,single_cross,-5.8357273,9.8575218
706,0,18.261576,single_cross,-3.3816663,7.8349746
707,0,16.959218,single_cross,-2.8965709,6.4505012
