channel_index,threshold_db,crossing_type,delta_min,delta_max
0,18.398144,single_cross,-3.1581296,6.9646934
1,20.494127,single_cross,-4.2546821,8.6429389
2,23.576885,single_cross,-2.9917714,7.1764266
3,20.110386,single_cross,-5.1274626,10.36812
4,28.247068,single_cross,-8.1499052,3.539097
5,19.655977,single_cross,-3.8429505,8.7983212
6,19.461784,single_cross,-5.7391487,9.7248966
7,26.248322,single_cross,-12.690474,9.9844423
8,19.392136,single_cross,-5.6622632,11.29237
9,18.755116,single_cross,-6.0789071,9.3234015
10,18.851528,single_cross,-2.4475249,5.7922232
11,18.850958,single_cross,-2.3048166,5.4985782
12,19.075905,single_cross,-2.7880746,6.0706852
13,24.295345,single_cross,-6.6370006,11.528225
14,20.441872,single_cross,-6.5448302,11.358506
15,17.423182,single_cross,-3.9185569,8.7705213
16,17.262405,single_cross,-2.9197435,7.0626056
17,18.496778,single_cross,-3.4852506,7.243644
18,18.116339,single_cross,-3.2150402,6.8591171
19,20.567415,single_cross,-3.3790512,7.1893641
20,20.319353,single_cross,-4.8987689,8.8733302
21,20.235672,single_cross,-4.2265943,8.3399568
22,20.936064,single_cross,-5.4159908,9.6406037
23,20.996845,single_cross,-3.2247451,6.4582524
24,18.495455,single_cross,-1.6989948,4.3911468
25,20.507435,single_cross,-5.2903739,10.922065
26,18.655807,single_cross,-3.1945871,6.9943965
27,18.103859,single_cross,-2.6327914,6.2228836
28,17.368021,single_cross,-3.1926093,8.8638912
29,18.223362,single_cross,-2.45127,5.6258948
30,19.842709,single_cross,-4.6477908,8.8836123
31,19.048365,single_cross,-3.0757553,7.0080706
32,18.870571,single_cross,-4.8482218,6.2314525
33,15.664302,single_cross,-1.7109676,3.9485863
34,18.800814,single_cross,-2.9783337,6.55728
35,19.852417,single_cross,-3.3787989,7.5491135
36,23.806978,single_cross,-6.0292437,8.2429061
37,20.151424,single_cross,-3.2819681,7.8646758
38,17.558243,single_cross,-3.3396349,7.9314295
39,19.134789,single_cross,-3.5109573,7.6053359
40,17.914471,single_cross,-3.2022735,7.9838355
41,19.166666,single_cross,-6.4083529,10.921778
42,19.383038,single_cross,-2.5392794,5.4883519
43,21.641842,single_cross,-4.2117649,7.6505329
44,20.656342,single_cross,-4.5409158,7.5651348
45,17.277489,single_cross,-2.5168396,6.3493292
46,17.155336,single_cross,-3.5671353,7.5084362
47,20.241669,single_cross,-3.0371184,6.6737174
48,17.206583,single_cross,-3.7986272,8.9847855
49,18.038784,single_cross,-3.5839025,8.502151
50,18.152313,single_cross,-3.6975548,8.521779
51,20.056614,single_cross,-3.1642936,7.5735526
52,23.246487,single_cross,-6.4348259,10.51296
53,20.307442,single_cross,-5.1569796,9.8277409
54,20.17588,single_cross,-5.5060932,9.5333983
55,25.406431,single_cross,-6.7499962,8.2758805
56,18.783684,single_cross,-2.9266377,8.248356
57,18.858814,single_cross,-1.8575493,5.8375753
58,20.082083,single_cross,-4.3757155,9.0975717
59,19.452274,single_cross,-3.0945789,7.7254341
60,19.422943,single_cross,-4.5940909,9.0431657
61,21.502928,single_cross,-6.4074271,10.541491
62,20.043655,single_cross,-3.4648241,9.109157
63,18.91888,single_cross,-2.8444433,7.568329
64,18.840714,single_cross,-3.9886657,7.8908392
65,18.269075,single_cross,-2.5081329,5.5304252
66,20.796921,single_cross,-4.9399766,9.1535981
67,17.273945,single_cross,-4.0035718,8.8388549
68,20.048922,single_cross,-2.0559565,4.9271256
69,18.702749,single_cross,-3.5592809,7.512024
70,19.949242,single_cross,-3.7978758,7.6599942
71,21.783524,single_cross,-8.0627702,11.206321
72,20.934664,single_cross,-2.342734,6.530056
73,21.530331,single_cross,-7.2405074,11.451825
74,17.791441,single_cross,-3.1151695,7.4348661
75,18.64592,single_cross,-3.0709581,7.2420231
76,18.566771,single_cross,-5.4379471,10.907192
77,16.886189,single_cross,-2.5309847,4.5270107
78,22.816,single_cross,-4.4282895,7.6260196
79,18.956854,single_cross,-1.8838421,6.0505453
80,18.885,single_cross,-2.765888,6.757683
81,16.118649,single_cross,-2.5545852,6.1595049
82,19.449198,single_cross,-1.8865953,4.8953639
83,18.612381,single_cross,-4.7536877,9.88704
84,20.381237,single_cross,-3.3999418,6.4039066
85,20.767908,single_cross,-3.0332127,7.5751806
86,22.353445,single_cross,-4.8011595,8.2545558
87,17.350023,single_cross,-1.9709186,5.353217
88,23.137655,single_cross,-6.7247327,9.1377336
89,18.047337,single_cross,-2.5864437,5.1937511
90,16.859571,single_cross,-3.4252209,6.7426552
91,19.419445,single_cross,-5.7450674,9.9764359
92,18.856285,single_cross,-3.5042361,8.0595989
93,19.116373,single_cross,-4.2561825,8.2881452
94,20.521471,single_cross,-4.5698066,8.8898353
95,20.083189,single_cross,-4.6775591,9.4433814
96,21.475752,single_cross,-6.5071377,9.4090608
97,17.773876,single_cross,-3.6310114,8.4681722
98,18.715176,single_cross,-4.6736194,9.9806917
99,17.585289,single_cross,-2.0489809,5.2658716
100,26.368341,single_cross,-8.7911167,7.8363676
101,17.413908,single_cross,-2.3575951,6.4045966
102,20.212835,single_cross,-3.7336738,9.1347389
103,18.072577,single_cross,-3.0299275,7.0030237
104,22.022381,single_cross,-4.6577215,8.4419477
105,18.690027,single_cross,-4.052601,10.3908
106,24.072777,single_cross,-5.9094493,9.5396677
107,20.460699,single_cross,-4.7245551,8.0789443
108,19.21269,single_cross,-3.3987595,7.2382393
109,21.617613,single_cross,-6.9398391,11.400915
110,18.183775,single_cross,-2.3980173,5.1185182
111,18.204752,single_cross,-2.7285597,6.5153634
112,19.143847,single_cross,-1.6630012,4.5685016
113,18.416538,single_cross,-3.1196442,7.2830104
114,17.254089,single_cross,-4.9692779,7.9913153
115,19.757523,single_cross,-3.8452165,8.1042964
116,21.287218,single_cross,-4.0990746,8.9834357
117,20.883808,single_cross,-5.4359507,9.0376299
118,17.333509,single_cross,-3.4878233,7.105866
119,21.226843,single_cross,-5.2640107,9.9778584
120,19.148031,single_cross,-2.1943048,5.0425904
121,17.960983,single_cross,-3.8670207,8.5153429
122,21.234465,single_cross,-5.1651784,9.7537546
123,20.910786,single_cross,-3.9015546,7.5641077
124,20.980225,single_cross,-5.9130994,10.177639
125,17.88093,single_cross,-4.5868899,8.8358004
126,24.366381,single_cross,-6.7568321,9.3038061
127,20.850721,single_cross,-8.4225831,9.9376762
128,20.254183,single_cross,-5.4468851,9.465875
129,21.47192,single_cross,-5.6225616,9.9580288
130,21.435411,single_cross,-5.8185448,10.633716
131,18.572985,single_cross,-4.3260957,8.4706726
132,21.217791,single_cross,-4.4237665,7.6396166
133,21.515427,single_cross,-3.1971321,7.1311688
134,19.554525,single_cross,-3.7715769,8.005359
135,17.793217,single_cross,-2.2279284,5.6759823
136,22.535002,single_cross,-7.1824707,10.183792
137,20.308125,single_cross,-4.6060843,9.4925386
138,19.370939,single_cross,-3.9093886,7.9326788
139,21.14776,single_cross,-4.5923131,8.2880658
140,18.042387,single_cross,-3.9135809,8.4117549
141,21.054768,single_cross,-5.6288201,8.0634878
142,20.034187,single_cross,-3.9843244,8.8741977
143,18.388617,single_cross,-3.4500533,6.7733181
144,17.409233,single_cross,-2.3784137,6.0844014
145,20.860224,single_cross,-4.1824278,8.1956837
146,19.673223,single_cross,-2.2965999,6.2459864
147,19.333612,single_cross,-3.7000577,7.9137132
148,19.424582,single_cross,-3.6417195,7.3489656
149,21.010441,single_cross,-3.8791606,6.5317534
150,21.647385,single_cross,-5.8413953,9.9627637
151,18.394711,single_cross,-3.4255239,5.8695991
152,18.254805,single_cross,-3.5027269,6.9671858
153,20.569225,single_cross,-4.9365872,9.1419078
154,17.831846,single_cross,-4.015969,8.6457154
155,20.249937,single_cross,-2.2164757,4.0975233
156,21.739672,single_cross,-4.1823318,8.2263946
157,23.966303,single_cross,-6.3902713,8.8124407
158,18.75395,single_cross,-4.1068282,8.6626026
159,20.118748,single_cross,-2.9292036,6.7887434
160,18.18096,single_cross,-2.8996877,7.3744442
161,20.625187,single_cross,-3.2512069,6.3632617
162,23.669333,single_cross,-5.478047,10.050658
163,23.038204,single_cross,-4.7616645,7.5051174
164,21.958853,single_cross,-2.8998909,6.2662828
165,18.816259,single_cross,-4.0909314,8.534938
166,21.769274,single_cross,-3.2480683,7.0469908
167,17.72724,single_cross,-3.0424886,7.4461003
168,18.912571,single_cross,-4.1365538,7.7110843
169,19.439423,single_cross,-3.8961384,7.6888481
170,18.599804,single_cross,-4.3879464,8.8100924
171,17.971388,single_cross,-3.8168958,7.8523228
172,18.266748,single_cross,-3.4127748,7.1812802
173,18.793604,single_cross,-4.9085526,7.8835568
174,21.184818,single_cross,-5.51151,10.549557
175,17.127939,single_cross,-3.191015,6.969879
176,21.469736,single_cross,-3.3274267,7.4269914
177,20.922192,single_cross,-3.5740659,7.7135628
178,19.404099,single_cross,-5.2845908,9.8567726
179,16.829231,single_cross,-3.102286,7.2640254
180,19.803555,single_cross,-2.1243804,5.4350546
181,21.212976,single_cross,-7.4174128,10.352419
182,20.486002,single_cross,-5.407377,11.111373
183,18.317038,single_cross,-4.1385733,9.7116128
184,16.616352,single_cross,-2.4743583,5.4449888
185,17.679369,single_cross,-2.5417628,6.0865543
186,19.278305,single_cross,-3.8042996,7.5428668
187,18.2122,single_cross,-4.0426698,8.2011347
188,23.219061,single_cross,-4.2293483,8.8154549
189,18.091749,single_cross,-3.0754439,7.6927751
190,16.616262,single_cross,-1.9129883,5.4542437
191,20.629824,single_cross,-3.8192423,7.9282614
192,21.242199,single_cross,-3.7311266,7.229382
193,21.239573,single_cross,-4.1666195,7.3265799
194,22.730131,single_cross,-9.9027025,10.991807
195,22.290632,single_cross,-6.5106967,8.6270497
196,20.02643,single_cross,-9.1426715,11.651589
197,19.042225,single_cross,-2.745966,6.3688707
198,19.314819,single_cross,-3.6195735,8.3883883
